Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
			8.2	Mae's birth mom was supposed to go into labor at six thirty in the morning						CT+ 8.2	CT+ 8.2	JA 8.2	JA 8.2			
			8.3	Mae's birth mom went into labot at six thirty in the morning						CT- 8.3	CT- 8.3	RT 8.3	RT 8.3	LI	embedded under 'supposed'	
			8.4	Mae's birth mom called						CT+ 8.4	CT+ 8.4	JA 8.4	JA 8.4			
			8.5	The hospital didn't have any beds						CT+ 8.5	CT+ 8.5	JA 8.5	JA 8.5			
B: oh no.  			9						oh no=B expresses compassion about 8.5							
A: So she called us and told us that, but then they did get a bed and she went in at eight.  	she=Mae's birth mom,they=hospital,us=A and Robert		10.1	So Mae's mom called A and Robert						CT+ 10.1	CT+ 10.1	JA 10.1	JA 10.1			
			10.2	So Mae's mom told A and Robert about events im 8.2, 8.4 and 8.5						CT+ 10.2	CT+ 10.2	JA 10.2	JA 10.2			
			10.3	The hospital did get a bed eventually					but then=eventually	CT+ 10.3	CT+ 10.3	JA 10.3	JA 10.3			
			10.4	Mae's mom went into labor at eight					went in=went into labor	PS 10.4	PS 10.4	JA 10.4	JA 10.4			
B: mhm.  			11													
A: Or seven thirty or, I guess she went in at seven thirty and they started her at eight or so so we hopped in the car and drove down to be there 	I=A,she=Mae's birth mom,they=hospital staff,there=hospital,we=A and Robert		12.1	Mae's mom went into labor at seven						PS 12.1	PS 12.1	JA 12.1	JA 12.1			
			12.2	A guesses Mae's birth mom went into labor at seven thirty						CT+ 12.2	CT+ 12.2	JA 12.2	JA 12.2			
			12.3	Mae's birth mom went into labor at seven thirty						PS 12.3	PS 12.3	JA 12.3	JA 12.3	LI	embedded under 'guesses'. Also from the context because there has been three different times given, all equally possible	
			12.4	The hospital staff started Mae's birth mom at eight so A and Robert hopped in the car and drove down to be at the hospital for the day						CT+ 12.4	CT+ 12.4	JA 12.4	JA 12.4			
			12.5	The hospital staff started Mae's birth mom at eight						CT+ 12.5	CT+ 12.5	JA 12.5	JA 12.5			
			12.6	A and Robert hopped in the car						CT+ 12.6	CT+ 12.6	JA 12.6	JA 12.6			
			12.7	A and Robert drove down to be at the hospital for the day						CT+ 12.7	CT+ 12.7	JA 12.7	JA 12.7			
B: mhm.  			13						mhm=acknowledgement of events 12.4-12.7							
B: %mm mhm.  			14													
A: for the day.  			15													
B: mhm.  			16													
A: And %um, 			17													
A: we hung out all day.  We had %uh we had some difficult times with the lawyer down there.  He was supposed to show up  	He=the lawyer,there=the hospital,we=A and Robert		18.1	A and Robert hung out all day at the hospital						CT+ 18.1	CT+ 18.1	JA 18.1	JA 18.1			
			18.2	A and Robert had some difficult times with the lawyer down at the hospital						CT+ 18.2	CT+ 18.2	JA 18.2	JA 18.2			
			18.3	The lawyer was supposed to show up						CT+ 18.3	CT+ 18.3	JA 18.3	JA 18.3			
			18.4	The lawyer showed up						CT- 18.4	CT- 18.4	RT 18.4	RT 18.4	LI	embedded under 'supposed'	
B: %mm 			19													
B: mhm.  			20													
A: and we waited all day and he never bloody showed up.  	he=the lawyer,we=A and Robert		21.1	A and Robert waited for the lawyer all day						CT+ 21.1	CT+ 21.1	JA 21.1	JA 21.1			
			21.2	The lawyer never bloddy showed up						CT+ 21.2	CT+ 21.2	JA 21.2	JA 21.2			
B: oh no.  			22						oh no=B expresses compassion about 21.2							
A: And %um, he and also she was expecting him too.  	she=Mae's birth mom,him=the lawyer		23	Also Mae's birth mom was expecting the lawyer too						CT+ 23	CT+ 23	JA 23	JA 23			
B: mhm.  			24						mhm=B acknowledges 23							
A: You know and so that was frustrating.  	that=the laywer not showing up		25	The lawyer not showing up was frustrating					you know=interjection	CT+ 25	CT+ 25	JA 25	JA 25			
B: yeah.  			26													
A: But anyway we waited all day and %um  	we=A and Robert		27	A and Robert waited all day					but anyway=suggestes transition of a topic	CT+ 27	CT+ 27	JA 27	JA 27			
A: But then five twenty five &Mae was born.  			28	Mae was born at five twenty five					but then=introduces a contrast between good and bad experience about events	CT+ 28	CT+ 28	JA 28	JA 28			
B: Right.  			29													
A: And the birth mother’s mother was with her through the whole thing and she was fantastic.  She was just great.  She was so nice to us and so solid there for her daughter and just a wonderful 	her=Mae's birth mom,she=Mae's birth's mom's mom,She=Mae's birth's mom's mom,thing=labor,us=A and Robert		30.1	Mae's birth mom's mom was with Mae's birth mom throught the labor						CT+ 30.1	CT+ 30.1	JA 30.1	JA 30.1			
			30.2	Mae's birth mom's mom was fantastic						CT+ 30.2	CT+ 30.2	JA 30.2	JA 30.2			
			30.3	Mae's birth mom's mom was just great						CT+ 30.3	CT+ 30.3	JA 30.3	JA 30.3			
			30.4	Mae's birth mom's mom was so nice to A and Robert						CT+ 30.4	CT+ 30.4	JA 30.4	JA 30.4			
			30.5	Mae's birth mom's mom was so solid for Mae's birth mom						CT+ 30.5	CT+ 30.5	JA 30.5	JA 30.5			
			30.6	Mae's birth mom's mom was just wonderful woman						CT+ 30.6	CT+ 30.6	JA 30.6	JA 30.6			
B: uh-huh.  			31													
B: mhm.  			32						mhm=B acknowledges 30							
B: Woman (( )) 			33													
A: person and %um 			34													
A: She was great.  She came out, you know, a couple times during the day she came out and gave us little progress reports of how things were going and actually it was very funny 	She=Mae's birth mom's mom,she=Mae's birth mom's mom,it=Mae's birth mom's mom's reporting on the labor,us=A and Robert		35.1	Mae's birth mom's mom was great						CT+ 35.1	CT+ 35.1	JA 35.1	JA 35.1			
			35.2	Mae's birth mom's mom came out a couple of times during the day					you know=interjection	CT+ 35.2	CT+ 35.2	JA 35.2	JA 35.2			
			35.3	Mae's birth mom's mom came out to A and Robert			 → 37.1 IN	 → 37.1 CT-		CT+ 35.3	CT+ 35.3	IN 35.3	IN 35.3	C	entailed in 35.2	
			35.4	Mae's birth mom's mom gave A and Robert little progress reports of how things were going						CT+ 35.4	CT+ 35.4	JA 35.4	JA 35.4			
B: uh-huh.  			36						uh-huh=sustaining the flow of the converstion							
A: because the first time she out {laugh}, I mean here we’re out there sort of ringing our hands and  	she=Mae's birth mom's mom,there=the waiting room in the hospital,we=A and Robert,our=A's and Robert's		37.1	Mae's birth mom's mom's reporting on the labor was actually very funny because the first time Mae's birth mom's mom came out, A and Robert were out in the waiting room sort of ringing A's and Robert's hands						CT+ 37.1	CT+ 37.1	JA 37.1,IN 35.3	JA 37.1,IN 35.3			
			37.2	Mae's birth mom's mom's reporting on the labor was actually very funny						CT+ 37.2	CT+ 37.2	JA 37.2	JA 37.2			
			37.3	A and Robert were out in the waiting room sort of ringing A's and Robert's hands					ringing hands=being anxious	CT+ 37.3	CT+ 37.3	JA 37.3	JA 37.3			
B: uh-huh.  			38													
A: sweating it out and wondering how everybody is going and everything and she came out and could I go downstairs because %um, her daughter wanted playing cards.  	it=Mae's birth,she=Mae's birth mom's mom,I=A,her=Mae's birth mom		39.1	A and Robert were sweating out the labor					sweating=being anxious	CT+ 39.1	CT+ 39.1	JA 39.1	JA 39.1			
			39.2	A and Robert were wondering how everybody was going and everything						CT+ 39.2	CT+ 39.2	JA 39.2	JA 39.2			
			39.3	A went downstairs because Mae's birth mom wanted playing cards						CT+ 39.3	CT+ 39.3	JA 39.3	JA 39.3			
			39.4	A went downstairs						CT+ 39.4	CT+ 39.4	JA 39.4	JA 39.4			
			39.5	Mae's birth mom wanted playing cards						CT+ 39.5	CT+ 39.5	JA 39.5	JA 39.5			
			39.6	A went downstairs to buy playing cards for Mae's birth mom						CT+ 39.6	CT+ 39.6	JA 39.6	JA 39.6	C	implied	
			39.7	A bought playing cards						CT+ 39.7	CT+ 39.7	JA 39.7	JA 39.7	C	in 45 we learn (implicitly) that it happened	
B: uh-huh.  			40						uh-huh=sustaining the flow of the conversation							
A: So I guess she was bored.  	I=A,she=Mae		41.1	So A guesses Mae was bored						CT+ 41.1	CT+ 41.1	JA 41.1	JA 41.1			
			41.2	Mae was bored						PS 41.2	PS 41.2	JA 41.2	JA 41.2	LI	embedded under 'guesses' -- signals uncertainty	
B: uh-huh.  			42						uh-huh=B acknowledges 41.1							
A: You know passing the time {laugh} 			43.1	A jokes that Mae's birth mom wants to pass the time with playing cards						CT+ 43.1	CT+ 43.1	JA 43.1	JA 43.1			
			43.2	Mae's birth mom wants to pass the time with playing cards						PS 43.2	PS 43.2	JA 43.2	JA 43.2	WK	it is general knowledge that playing cards could be a form of passing time	
			43.3	Mae's birth mom passes the time with playing cards						PS 43.3	PS 43.3	JA 43.3	JA 43.3	C	that's a valid assumption given the context	
B: {laugh} 			44													
A: So I went downstairs to get playing cards with her and 	I=A,her=Mae's birth mom's mom		45.1	A went downstairs to get playing cards with Mae's birth mom's mom					so=continuing the topic	CT+ 45.1	CT+ 45.1	JA 45.1	JA 45.1			
			45.2	A got playing cards with Mae's birth mom's mom						CT+ 45.2	CT+ 45.2	IN 45.2	IN 45.2	C	 45.2 was not uttered per se but this is what we understand and infer from 45.1; at this stage the event is IN -- it was added with 45.1	
B: uh-huh.  			46						uh-huh=acknowledgement of 45.1							
A: and then later on she came out and she wanted some chewing gum. {laugh} 	she=Mea's birth mom's mom,she2 =Mea's birth mom		47.1	Later on Mae's birth mom's mom came out to the waiting room						CT+ 47.1	CT+ 47.1	JA 47.1	JA 47.1			
			47.2	Mae's birth mom wanted some chewing gum						CT+ 47.2	CT+ 47.2	JA 47.2	JA 47.2			
			47.3	Mae's birth mom's mom requested chewing gum from A for Mae's birth mom						CT+ 47.3	CT+ 47.3	IN 47.3	IN 47.3	C	inference from 47.2; added at the time of 47.2	
B: uh-huh {laugh}.  			48						uh-huh=acknowledgement of 47.3							
A: %um, I guess your mouth gets dry and you just want something.  	I=A,you=one,your=one's		49.1	A guesses one's mouth gets dry after delivering a baby						CT+ 49.1	CT+ 49.1	JA 49.1	JA 49.1			
			49.2	One just wants something atfer delivering a baby						PS 49.2	CT+ 49.2	JA 49.2	JA 49.2	C	TALK ON MODAY ABOUT PS + CT+ -> JA (PS)	
B: yeah. I’m sure.  	I=B		50	B is sure about 49.2					yeah=B agrees with 49.1 and 49.2	CT+ 50	CT+ 50	JA 50	JA 50			
A: So, you know, it was, it was kind of funny these very 	it=Mae's birth mom wanting playing cards and gums		51	Mae's birth mom wanting playing cards and gums was kind of funny						CT+ 51	CT+ 51	JA 51	JA 51			
B: Reassuring in a way I would think.  	I=B		52.1	B would think Mae's birth mom wanting playing cards and gums was reassuring in a way						CT+ 52.1	CT+ 52.1	JA 52.1	JA 52.1			
			52.2	Mae's birth mom wanting playing cards and gums was reassuring in a way						PS 52.2	PS 52.2	JA 52.2	JA 52.2	LI	embedded under 'would think' -- indicates uncertainty; for A it's also PS because in 53 she expresses doubts with "yeah, but"	
A: y-, yeah, but these very %um,  			53						yeah, but= expresses doubt							
B: yeah.  			54													
A: you know they’re such sort of specific little things {laugh}.  	they=chewing gum and playing cards		55	Chewing gum and playing cards are such sort of specific little things					you know=interjection	CT+ 55	CT+ 55	JA 55	JA 55			
B: yeah.  			56													
A: And %um,  			57						And um= slight change of topic  							
A: then but they kind of held her back. I think the baby would’ve born, been born sooner but the doctor didn’t get there till around three.  	they=hospital staff,her=Mae's birth mom,I=A,there=Mae's birth mom delivery room		58.1	The hospital staff held Mae's birth mom back						PS 58.1	PS 58.1	JA 58.1	JA 58.1	LI	"kind of" might mark some hesistance 	
			58.2	A thinks Mae would have been born sooner but the doctor didn't get to Mae's birth mom delivery room till around three						CT+ 58.2	CT+ 58.2	JA 58.2	JA 58.2			
			58.3	Mae would have been born sooner but the doctor didn't get to Mae's birth mom delivery room till around three						PS 58.3	PS 58.3	JA 58.3	JA 58.3	LI	embedded under "think"	
			58.4	Mae would have been born sooner						PS 58.4	PS 58.4	JA 58.4	JA 58.4			
			58.5	The doctor didn't get to the Mae's birth mom delivery room till around three						CT+ 58.5	CT+ 58.5	JA 58.5	JA 58.5			
A: So 			59													
B: so I thought once it was induced there was like no stopping it.  	I=B,it=labor		60.1	B thought once the labor was induced there was like no stopping the labor						CT+ 60.1	CT+ 60.1	JA 60.1	JA 60.1			
			60.2	Once the labor was induced there was like no stopping the labor						CT- 60.2	PS 60.2	RT 60.2	RT 60.2	C	A rejects 60.2 in 61	
			60.3	The labor was induced 						NB 60.3	NB 60.3					
			60.4	There was like no stopping the labor						NB 60.4	NB 60.4					
A: No they can hold you back 	you=one,they=hospital staff		61	The hospital staff can hold one back with the labor						CT+ 61	CT+ 61	JA 61	JA 61			
B: %hm.  			62						hm=it suggests that B is learning something new							
A: a little bit, you know.  			63	The hospital staff can hold one back with the labor a little bit					you know=correcting Aself	CT+ 63	CT+ 63	JA 63	JA 63			
B: %hm.  			64						hm=it suggests that B is learning something new							
A: Once, depends how much stuff they give you.  	you=one,they=hospital staff,stuff=medicine		65.1	Whether the hospital staff can hold one back with the labor or not depends on how much medicine the hospital staff gives one						CT+ 65.1	CT+ 65.1	JA 65.1	JA 65.1			
			65.2	The hospital staff gives one medicine during labor						CT+ 65.2	CT+ 65.2	IN 65.2	IN 65.2	WK	presupposition and also inference based on world knowledge	
B: How much stuff they give you. yeah.  	they=hospital staff,you=one		66						yeah=agreement with 65.1							
A: Stuff. But anyway I think they were holding her back a little bit because they wanted the doctor there.  	I=A,they=hospital staff,there=Mae's birth mom delivery room,her=Mae's birth mom		67.1	A thinks the hospital staff were holding Mae's birth mom back a little bit because the hospital staff wanted the doctor in Mae's birth mom delivery room						CT+ 67.1	CT+ 67.1	JA 67.1	JA 67.1			
			67.2	The hospital staff were holding Mae's birth mom back a little bit because the hospital staff wanted the doctor in Mae's birth mom delivery room						PS 67.2	PS 67.2	JA 67.2	JA 67.2	LI	embedded under 'think'	
			67.3	The hospital staff were holding Mae's birth mom back a little bit 						CT+ 67.3	CT+ 67.3	JA 67.3	JA 67.3			
			67.4	The hospital staff wanted the doctor in Mae's birth mom delivery room						PS 67.4	PS 67.4	JA 67.4	JA 67.4	C	67.4 is what is actually embedded nder 'think'	
B: ((mhm)) [[faint]] 			68													
B: uh-huh.  			69													
A: %um, and the doctor showed up around three and &Mae was born at five twenty five.  			70.1	The doctor showed up around three						CT+ 70.1	CT+ 70.1	JA 70.1	JA 70.1			
			70.2	Mae was born at five twenty five						CT+ 70.2	CT+ 70.2	JA 70.2	JA 70.2			
B: mhm.  			71													
A: Eight pounds eight ounces.  			72	Mae weighed eight pounds eight ounces						CT+ 72	CT+ 72	JA 72	JA 72			
B: mhm.  			73													
A: And screaming.  			74	Mae was screaming						CT+ 74	CT+ 74	JA 74	JA 74			
B: mhm.  			75													
A: Really screaming and I was a little scared. I thought oh my god what have we wrought. You could here her out through the doors of the hall, you know.  	I=A,You=One,her=Mae,we=A and Robert		76.1	Mae was really screaming						CT+ 76.1	CT+ 76.1	JA 76.1	JA 76.1			
			76.2	A was a little scared						CT+ 76.2	CT+ 76.2	JA 76.2	JA 76.2			
			76.3	A thought what have A and Robert wrought					oh my god=emphasis on 76.3	CT+ 76.3	CT+ 76.3	JA 76.3	JA 76.3			
			76.4	One could hear Mae out through the doors of the hall					you know=interjection	CT+ 76.4	CT+ 76.4	JA 76.4	JA 76.4			
B: {laugh} 			77						B laughs at 76.4							
B: uh-huh.  			78													
A: And there were a lot of babies being born. You didn’t hear them all.  	You=one,them=new born babies		79.1	There were a lot of babies being born						CT+ 79.1	CT+ 79.1	JA 79.1	JA 79.1			
			79.2	One didn't hear all the babies						CT+ 79.2	CT+ 79.2	JA 79.2	JA 79.2			
			79.3	Mae was screaming very loud						CT+ 79.3	CT+ 79.3	IN 79.3	IN 79.3	C	inferreed from 79.1 and 79.2 -- added at the time of those events	
B: uh-huh.  			80						uh-huh=acknowledgement of 79.3							
A: And I, and %um, what happened h-, I guess %um, {breath} that’s right. Her mom came running out to tell us the baby was born.  	I=A,Her=Mae's birth mom,us=A and Robert		81.1	Mae's birth mom' mom came running out to tell A and Robert the baby was born						CT+ 81.1	CT+ 81.1	JA 81.1	JA 81.1			
			81.2	Mae's birth mom's mom told A and Robert the baby was born						CT+ 81.2	CT+ 81.2	JA 81.2	JA 81.2			
			81.3	The baby was born						CT+ 81.3	CT+ 81.3	IN 81.3	IN 81.3	C	That event was added in 70	
B: uh-huh.  			82						uh-huh.  = B acknowledges 81							
A: And then she said that’s her. You can hear her {laugh} 	she=Mae's birth mom's mom,her=Mae,You=one		83.1	And then Mae's birth mom's mom said that's Mae						CT+ 83.1	CT+ 83.1	JA 83.1	JA 83.1			
			83.2	One can hear Mae						CT+ 83.2	CT+ 83.2	JA 83.2	JA 83.2			
B: {laugh} 			84													
A: And %um, {lipsmack} said it was a beautiful birth. I mean two pushes and she was out which is really great so she’s very unsquashed and unbattered looking for a new baby.  	I=A,she=Mae's birth mom		85.1	Mae's birth mom's mom said it was a beautiful birth						CT+ 85.1	CT+ 85.1	JA 85.1	JA 85.1			
			85.2	It was a beautiful birth						PS 85.2	PS 85.2	JA 85.2	JA 85.2	C	embedded under 'say' -- introduces some hesitation	
			85.3	Two pushes and Mae was out which is really great so Mae's birth mom is very unsquashed and unbattered looking for a new baby						CT+ 85.3	CT+ 85.3	JA 85.3	JA 85.3			
			85.4	Mae is very unsquashed and unbattered for a new born						CT+ 85.4	CT+ 85.4	JA 85.4	JA 85.4			
B: uh-huh mhm.  			86						uh-huh mhm.  = B acknowledges 85							
B: Right.  			87						Right.  = B acknowledges 85							
A: Usually they look a bit bashed up {breath}.  	they=new borns		88	Usually new borns look a bit bashed up						CT+ 88	CT+ 88	JA 88	JA 88			
B: yeah.  			89						yeah.  = B agrees with 88							
B: A bit worn.  			90	Usually new borns look a bit worn						CT+ 90	CT+ 90	JA 90	JA 90			
A: But she’s got a nice shaped head and, you know she doesn’t look like she was %um, you know she’s not a cone head.  	she=Mae		91.1	But Mae's got a nice shaped head					you know=interjection	CT+ 91.1	CT+ 91.1	JA 91.1	JA 91.1			
			91.2	Mae is not a cone head						CT+ 91.2	CT+ 91.2	JA 91.2	JA 91.2			
B: mhm.  			92													
B: But did you get to see her in a few hours or 	you=A,her=Mae		93.1	B asks A if A got to see Mae in a few hours						CT+ 93.1	CT+ 93.1	JA 93.1	JA 93.1			
			93.2	A got to see Mae in a few hours		 → 95 CT-	 → 95 RT	 → 95 PS		CT- 93.2	NB 93.2					
			93.3	A saw Mae in a few hours		 → 95 CT-	 → 95 RT	 → 95 PS		CT- 93.3	NB 93.3					
A: a-  			94													
A: Well what happened no right away there, there was a very nice %um 			95	A saw Mae right away						CT+ 95	CT- 93.2,CT- 93.3,CT+ 95	RT 93.2,RT 93.3,JA 95	RT 93.2,RT 93.3,JA 95			
A: delivery nurse who we had spoken to earlier in the day named &Tina.  	we=A and Robert		96.1	There was a very nice delivery nurse who A and Robert had spoken to earlier in the day named Tina						CT+ 96.1	CT+ 96.1	JA 96.1	JA 96.1			
			96.2	A and A's partner had spoken to Tina earlier in the day						CT+ 96.2	CT+ 96.2	JA 96.2	JA 96.2			
B: mhm.  			97													
B: mhm.  			98													
B: mhm.  			99													
A: And what they do is they take the baby from the delivery room to the nursery.  	they=nurses		100	Nurses take the baby from the delivery room to the nursery						CT+ 100	CT+ 100	JA 100	JA 100			
B: mhm.  			101						mhm.  = B acknowledges 100							
A: Normally they go directly and &Tina very, very sweetly zipped past the door to the out, outer part of the nursery where we were waiting 	they=nurses,we=A and Robert		102.1	Normally nurses go directly to the nursery						CT+ 102.1	CT+ 102.1	JA 102.1	JA 102.1			
			102.2	Tina very, very sweetly zipped past the door to the outer part of the nursery where A and Robert were waiting						CT+ 102.2	CT+ 102.2	JA 102.2	JA 102.2			
			102.3	A and Robert were waiting in the outer part of the nursery						CT+ 102.3	CT+ 102.3	IN 102.3	IN 102.3			
B: mhm.  			103													
B: mhm ((outside)) 			104													
B: mhm.  			105						mhm.  = B acknowledges 102							
A: and let us hold her.  	her=Mae,us=A and Robert		106.1	Tina let A and Robert hold Mae						CT+ 106.1	CT+ 106.1	JA 106.1	JA 106.1			
			106.2	A and Robert held Mae						CT+ 106.2	CT+ 106.2	IN 106.2	IN 106.2	C	presupposed from 106.1	
B: mhm.  			107													
A: So she was just minutes old then.  	she=Mae		108	Mae was just minutes old then						CT+ 108	CT+ 108	JA 108	JA 108			
B: Wow.  			109						wow = B expresses amazement about 108							
A: So we held her for just a couple minutes and 	her=Mae,we=A and Robert		110	A and Robert held Mae for just a couple of minutes						CT+ 110	CT+ 110	JA 110	JA 110			
B: uh-huh.  			111						uh-huh.  = B acknowledges 110							
A: it was really funny because you could hear her coming up the hall screaming  	you=one,her=Mae,it=Tina zipping past the door to the outer part of the nursery		112.1	Tina zipping past the door to the outer part of the nursery was funny because one could hear Mae coming up the hall screaming loudly						CT+ 112.1	CT+ 112.1	JA 112.1	JA 112.1			
			112.2	Tina zipping past the door to the outer part of the nursery was funny						CT+ 112.2	CT+ 112.2	JA 112.2	JA 112.2			
			112.3	One could hear Mae coming up the hall screaming loudly						CT+ 112.3	CT+ 112.3	JA 112.3	JA 112.3			
B: uh-huh.  			113													
A: loudly.  			114													
B: uh-huh.  			115													
B: uh-huh.  			116													
A: She handed her to me screaming loudly and I said to &Tina and also to the, 	She=Tina,her=Mae,me=A,I=A		117	Tina handed Mae to A screaming loudly						CT+ 117	CT+ 117	JA 117	JA 117			
B: uh-huh.  			118													
A: the birth mother’s mother there, you know oh &Robert has the magic touch.  I handed her to &Robert. Instant silence.  	you=one,I=A,her=Mae		119.1	A said to Tina and also to the birth mother's mother that Robert has the magic touch						CT+ 119.1	CT+ 119.1	JA 119.1	JA 119.1			
			119.2	Robert has the magic touch						PS 119.2	PS 119.2	JA 119.2	JA 119.2	LI	embedded under 'say'	
			119.3	A handed Mae to Robert						CT+ 119.3	CT+ 119.3	JA 119.3	JA 119.3			
			119.4	Mae stopped screaming					instant silence = Mae stopped screaming	CT+ 119.4	CT+ 119.4	JA 119.4	JA 119.4			
B: uh-huh.  			120						uh-huh.  = B acknoweldges 119							
B: uh-huh.  			121						uh-huh.  = repetitition / filler							
A: Instant.  			122	Mae stopped screaming instantly						CT+ 122	CT+ 122	JA 122	JA 122			
A: She just stopped screaming immediately.  	She=Mae		123	Mae just stopped screaming immediately						CT+ 123	CT+ 123	JA 123	JA 123			
B: uh-huh.  			124						uh-huh.  = B acknowledges 123							
B: uh-huh.  			125						repetition / filler							
A: So he held her for a little while. And then the nurse was afraid to take her back. Said oh she’s going to scream again. {laugh} 	he=Robert,her=Mae,she=Mae		126.1	So Robert held Mae for a little while						CT+ 126.1	CT+ 126.1	JA 126.1	JA 126.1			
			126.2	And then the nurse was afraid to take Mae back						CT+ 126.2	CT+ 126.2	JA 126.2	JA 126.2			
			126.3	The nurse said oh Mae is going to scream again						CT+ 126.3	CT+ 126.3	JA 126.3	JA 126.3			
			126.4	Mae is going to scream again					A laughs at Mae's possibility of screaming again after Robert gives Mae back to the nurse	PS 126.4	PS 126.4	JA 126.4	JA 126.4	LI	embedded unnder 'said' -- introduces doubt	
B: uh- 			127													
B: uh-huh. {laugh} 			128						B laughs at Mae's possibility of screaming again after Robert gives Mae back to the nurse							
A: And she did {laugh} 	she=Mae,did=started crying		129	And Mae did start crying						CT+ 129	CT+ 129	JA 129	JA 129			
B: uh-huh.  			130						uh-huh.  = filler							
A: And off they went to the nursery and then you watched through the glass 	they=Mae and the nurse,you=one		131.1	Mae and the nurse went to the nursery 						CT+ 131.1	CT+ 131.1	JA 131.1	JA 131.1			
			131.2	Then one watched through the glass						CT+ 131.2	CT+ 131.2	JA 131.2	JA 131.2			
B: That must have [distorted] been very reassuring for &Robert.  	That=Mae stopping crying when in Robert's arms		132	Mae stopping crying when in Robert's arms must have been very reassuring for Robert						CT+ 132	CT+ 132	JA 132	JA 132			
A: It was very nice wasn’t it. It was very wonderful for &Robert and for me too just to see, I knew it would work too.  	It=Mae stopping crying when in Robert's arms,me=A,I=A,it=Robert comforting Mae ?		133.1	Mae stopping crying when in Robert's arms was very nice						CT+ 133.1	CT+ 133.1	JA 133.1	JA 133.1			
			133.2	Mae stopping crying when in Robert's arms was very wonderful for Robert						CT+ 133.2	CT+ 133.2	JA 133.2	JA 133.2			
			133.3	A knew Robert comforting Mae would work						CT+ 133.3	CT+ 133.3	JA 133.3	JA 133.3			
			133.4	Robert comforting Mae would work 						CT+ 133.4	CT+ 133.4	JA 133.4	JA 133.4			
B: Very nice. yeah.  			134						Very nice. yeah. = confirmation of 133							
B: uh-huh.  			135						uh-huh.  filler							
B: uh-huh.  			136						uh-huh.   = filler							
B: yeah.  			137						yeah.  = filler							
A: I don’t know what it is. He has some, you have a theory. Body warmth or something but anyway.  	I=A,He=Robert		138.1	A doesn't know what made Mae stop crying in Robert's arms						CT+ 138.1	CT+ 138.1	JA 138.1	JA 138.1			
			138.2	Something made Mae stop crying in Robert's arms						CT+ 138.2	CT+ 138.2	IN 138.2	IN 138.2			
			138.3	Mae stopped crying in Robert's arms						CT+ 138.3	CT+ 138.3	IN 138.3	IN 138.3			
			138.4	Robert has some theory about 138.2 and body warmth or something						CT+ 138.4	CT+ 138.4	JA 138.4	JA 138.4			
B: yeah.  			139						yeah.   = filler							
B: I think it’s partly it but there’re certain kind of men who, I think it’s men who have like these big 	I=B,it=Mae stop crying in Robert's arms,it2 = body warmth		140													
