Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
B: oh okay. Good.  			46						good=B expresses content about 45; it is implied that B has plenty of time to visit Kevin and A							
B: {breath} 			47													
A: We won’t move till 	We=Kevin and A		48													
B: okay.  			49													
A: %mm [[drawn out]]  			50						mm=indicates A's thought process (calculation perhaps)		 50					
A: probably June.  			51	Kevin and A won't move till probably June						CT+ 51	CT+ 51	JA 51	JA 51			
B: okay.  			52						B approves of 51							
A: Maybe early June.  			53	Kevin and A won't move till maybe early June					A corrected herself about 51							
B: Because if I don’t come when &Norm does his defense 			54												skipped event here -- seems like B is forming B's thoughts on the spot -- no content-wise contribution to the dialog	
A: uh-huh, uh-huh.  			55													
B: which I really want to come for that but you know I have 	I=B		56	B really wants to come to Norm's defense						CT+ 56	CT+ 56	JA 56	JA 56			
B: I might not be able to for other reasons {inhale}.  	I=B		57	B might not be able to come for Norm's defense for other reasons  						CT+ 57	CT+ 57	JA 57	JA 57			
A: uh-huh.  			58						uh-huh=filler, to sustain the flow of the conversation							
B: But if I can’t come then then I’m going to stop in January. Well I’ll probably stop in January anyhow.  	I=B,then=???		59.1	If B can't come then, B is going to stop in January						CT+ 59.1	CT+ 59.1	JA 59.1	JA 59.1			
			59.2	B can't come then						PS 59.2	PS 59.2	JA 59.2	JA 59.2		the possibility of 59.2 is added to CG	
			59.3	B is going to stop in January						PS 59.3	PS 59.3	JA 59.3	JA 59.3			
			59.4	B will probably stop in January anyhow						CT+ 59.4	CT+ 59.4	JA 59.4	JA 59.4		does not reject 59.3  -- two different events	
A: Excellent 			60						Excellent=A expressses excitmement about 59.3	CT+ 60	CT+ 60					
B: {inhale} Because I’m going to %uh (( )) in January with the baby to %uh -- 	I=B,baby=B's baby		61													
B: -- see the %uh -- 			62													
B: -- the it’ll come out to see the relatives.  			63	B is going to see relatives with B's baby						CT+ 63	CT+ 63	JA 63	JA 63			
A: Show off <French ((le bebe))>.  			64	B is going to show off B's baby			 → 65 IN	 → 65 CT-		CT+ 64	CT+ 64	JA 64	JA 64			
B: yeah. Show off <French ((le bebe))>.  			65									IN 64	IN 64			
A: Excellent  			66						Excellent= A expresses content about 63 and 64							
B: Do you think ei- I mean eight weeks is not really well it’ll, it’ll be older than eight weeks it’ll be like ten weeks by then. That’s not too early to travel is it? 	then=the time when B and B's baby visit the relatives,you=A,it=B's baby		67.1	B's baby will be older than eight weeks by the time B and B's baby visit the relatives						CT+ 67.1	CT+ 67.1	JA 67.1	JA 67.1			
			67.2	B's baby will be like ten weeks by the time B and B's baby visit the relatives						CT+ 67.2	CT+ 67.2	JA 67.2	JA 67.2		67.1 and 67.2 are not mutually exclusive	
			67.3	B asks if 10 month old baby is not too young to travel with					early=refers to B's baby's age	CT+ 67.3	CT+ 67.3	JA 67.3	JA 67.3			
			67.4	10 month old baby is not too young to travel with			 → 68 JA	 → 68 CT+		PS 67.4	CT+ 67.4				enternatining the event -- we must deferrentiate that from RT	
A: Nope.  			68									JA 67.4	JA 67.4			
B: I thought it would be like much easier to travel if we went when he was ten weeks than -- 	I=B,went=visited relatives,we=B and Norm		69													
A: yep, yep, yep. 			70												A respons before B finnishes B's thought, which is not uncommon in conversations. Followinng our current guideliness, we should wain until B is done	
B: -- you know after that.  	that=when B's baby is older		71.1	B thought it would be like much easier to travel if B and Kevin visited relatives when B's baby was ten weeks than when B's baby is older						CT+ 71.1	CT+ 71.1	JA 71.1	JA 71.1			
			71.2	It would be like much easier to travel if B and Kevin visited relatives when B's baby was ten weeks than when B's baby is older						CT+ 71.2	CT+ 71.2	JA 71.2	JA 71.2			
			71.3	It would be like much easier to travel to visit the relatives when B's baby was 10 weeks then when B's baby is older						CT+ 71.3	CT+ 71.3	JA 71.3	JA 71.3			
			71.4	B's baby was 10 weeks						CT- 71.4	CT- 71.4	RT 71.4	RT 71.4		not sure that this event is ever considered cognnitively  -- we need to differentiate between 'not enternatied' and 'entertained but rejected'	
A: when they’re new infants it’s like bring along a blanket so you can nurse them. And like you could do anything. You could probably go like do skydiving or something.  	they=babies,them=babies,it=travelling,you=one		72.1	When babies are infants travelling is just about bringing along a blanket so one can nurse the babies					like=indicates that the following event is simple?	CT+ 72.1	CT+ 72.1	JA 72.1	JA 72.1			
			72.2	Babies are infants						CT- 72.2	CT- 72.2	RT 72.2	RT 72.2			
			72.3	Travelling is just about bringing along a blanket so one can nurse the babies						CT- 72.3	CT- 72.3	RT 72.3	RT 72.3		once again, not sure if this reasoning is actually happening in our brains. I do find it useful to AI traininng purposes	
			72.4	One can nurse the babies 						CT+ 72.4	CT+ 72.4	JA 72.4	JA 72.4			
			72.5	One could do anything with a baby younger than ten months						CT- 72.5	CT- 72.5	RT 72.5	RT 72.5		sarcasm	
			72.6	One couldn't do everything with a baby younger than ten months						CT+ 72.6	CT+ 72.6	JA 72.6	JA 72.6		inference from 72.5	
			72.7	One could probably go like skydiving or something with a baby younger than 10 months						CT- 72.7	CT- 72.7	RT 72.7	RT 72.7		sarcasm	
			72.8	One could not probably go like skydiving or something with a baby younger than 10 months						CT+ 72.8	CT+ 72.8	JA 72.8	JA 72.8		inference from 72.7	
B: yeah. I know.  	I=B		73						yeah. I know.= B agrees with 72.1							
A: And if you were nursing the baby while you were skydiving the baby would be like okay.  	you=one,okay=go along with the skydiving		74.1	If one were nursing the baby while one was skydiving, the baby would go along with the skydiving						CT- 74.1	CT- 74.1	RT 74.1	RT 74.1		sarcasm -- I don;t think the nagtion of this would enter CG, would it ???	
			74.2	One was nursing the baby while skydiving						CT- 74.2	CT- 74.2	RT 74.2	RT 74.2		sarcasm	
			74.3	The baby would go along with the skydiving						CT- 74.3	CT- 74.3	RT 74.3	RT 74.3		sarcasm 	
B: yeah.  			75						yeah.  =B agrees with 74.1							
A: Alright. As long as we’re nursing while we’re doing this that’s okay.  	we=mothers,that=skydiving with babies,this=skydiving with babies		76.1	As long as mothers are nursing while skydiving, skydiving with babies is okay						CT- 76.1	CT- 76.1	RT 76.1	RT 76.1		sarcasm -- the joke continues	
			76.2	Mothers are nursing while skydiving						CT- 76.2	CT- 76.2	RT 76.2	RT 76.2		sarcasm	
			76.3	Skydiving with babies is okay						CT- 76.3	CT- 76.3	RT 76.3	RT 76.3		sarcasm	
B: That’s what I thought too.  	I=B		77						That’s what I thought too. = B has the same thought as 76.1							
B: {inhale} And they don’t need that many clothes when they’re that young. And they don’t need toys.  	they=babies under tenn months		78.1	Babies under ten months don't need that many clothes					that young=10 month old baby is very young	CT+ 78.1	CT+ 78.1	JA 78.1	JA 78.1			
			78.2	Babies under ten months don't need toys						CT+ 78.2	CT+ 78.2	JA 78.2	JA 78.2			
B: So.  			79													
B: You know basically you don’t need to bring anything.  	you=one,You=A		80	Basically one doesn't need to bring anyhing when travelling with babies udner ten months					result of 78.1 and 78.2	CT+ 80	CT+ 80	JA 80	JA 80			
B: {lipsmack} But %uh but you know your two boobs. {laugh} and %uh {sniff} 	your=one's		81						you know your two boobs = B implies that B has to bring at least B's boobs when travelling with B's baby							
A: {laugh} 			82													
B: And since I can’t really go anywhere without those anyhow {laugh} 	those=boobs,I=B		83	B can't really go anywhere without B's boobs anyhow					anyhow=no matter what one does	CT+ 83	CT+ 83	JA 83	JA 83			
A: They’re hard to forget 	They=boobs		84	Boobs are hard to forget						CT+ 84	CT+ 84	JA 84	JA 84		joke but not untrue statement	
B: {laugh} yeah.  			85						yeah=confiriming 84							
A: Hard to leave behind.  			86	Boobs are hard to leave behind						CT+ 86	CT+ 86	JA 86	JA 86			
B: yeah. So I mean in then you know then we can just use disposables if we’re travelling, so 	disposables=disposable boobs?,I=B,we=one		87.1	One can use disposable boobs if one were travelling						CT- 87.1	CT- 87.1	RT 87.1	RT 87.1		sarcasm	
			87.2	One can use disposable boobs						CT- 87.2	CT- 87.2	RT 87.2	RT 87.2		sarcasm	
			87.3	One were travelling						CT- 87.3	CT- 87.3	RT 87.3	RT 87.3		hypothetical	
A: oh definitely.  			88						oh definitely. =A confirms 87.1							
A: Don’t we did one time we were like we were travelling in the car we were like oh we can just bring a little mini diaper pail and all.  	we=A and Kevin		89.1	Kevin and A were travlleing in he car					we were like oh=Kevin and A thought that							
			89.2	Kevin A thought that Kevin and A can just bring a little mini diaper pail and all when travelling in the car						CT+ 89.2	CT+ 89.2	JA 89.2	JA 89.2			
			89.3	Kevin and A can just bring a little mini diaper pail and all when travelling in the car						CT+ 89.3	CT+ 89.3	JA 89.3	JA 89.3		or sarcasm and CT- and RT? Not sure what A means here	
B: yeah.  			90													
A: That was after one time I went never again.  	one=one time of travelling with non-disposable diapers (?),I=A		91	After one time of travelling with non-dsposable diapers A went never again.					A went never again=A will never repeat A's mistakes	CT+ 91	CT+ 91	JA 91	JA 91	C		
B: {laugh} 			92													
A: Disposables for travelling.  			93	Disposables are essential for travalling						CT+ 93	CT+ 93	JA 93	JA 93	C		
B: And did you %um 			94													
A: ((Absolutely)) [distortion].  			95													
B: Every now did you supplement nursing with bottles at all or didn’t, didn’t you? 	you=B		96.1	B asks A if A supplemented nursing with bottles						CT+ 96.1	CT+ 96.1	JA 96.1	JA 96.1	C		
			96.2	A supplemented nursing with bottles		 → 97 CT-	 → 97 RT	 → 97 PS		CT- 96.2	PS 96.2			LI	PS because 96.2 is embedded under a yes/no question	
A: No. No. Somehow like I read too many of the (( )) books so I thought it was like no formula.  	I=A		97	A read too many of the books so A thought it was like no formula					it was like no formula=A decided not to use formula	CT+ 97,CT+ 97	CT- 96.2,CT+ 97	RT 96.2,JA 97	RT 96.2,JA 97	C		
A: It does make a difference like I always thought formula smells kind of disgusting {inhale} 	I=A,It=formula vs breastmlik		98.1	Formula vs breastmilk does make a difference						CT+ 98.1	CT+ 98.1	JA 98.1	JA 98.1	C		
			98.2	A always thought formula smells like of disgusting						CT+ 98.2	CT+ 98.2	JA 98.2	JA 98.2	C		
			98.3	Formula smells kind of disgusting						CT+ 98.3	CT+ 98.3	JA 98.3	JA 98.3	LI	 even though 98.3 is embedded under 'think' it does express a certain belief	
B: oh yeah.  			99						oh yeah. =agreement with 98.3							
A: Like when they throw up it smells disgusting and when they make their little doo-doo’s it smells grosser if they’re on formula. But if they’re totally breast milk now you’ll find this hard this believe but if they’re totally breast milk for like the first couple months -- 	they=babies,it=vomits/doo-doo,you=A		100.1	Like when babies throw up, the vomits smell disgusting 					it is assumed that the babies' vomits smell disgusting when babies drink formula instead of milk	CT+ 100.1	CT+ 100.1	IN 100.1	IN 100.1	LI	"like" here indicates that the speaker speaks some general truth	
			100.2	Babies throw up						CT+ 100.2	CT+ 100.2	IN 100.2	IN 100.2			
			100.3	The vomits smells disgusting						CT+ 100.3	CT+ 100.3	JA 100.3	JA 100.3			
			100.4	When babies make babies' little doo-doos, the doo-doo smells grosser if the babies are on formula						CT+ 100.4	CT+ 100.4	JA 100.4	JA 100.4			
			100.5	Babies make babies little doo-doos						CT+ 100.5	CT+ 100.5	IN 100.5	IN 100.5	WK		
			100.6	The doo-doo smells grosser if the babies are on formula						CT+ 100.6	CT+ 100.6	JA 100.6	JA 100.6			
			100.7	The doo-doos smell grosser						NB 100.7	NB 100.7	RT 100.7	RT 100.7	C	It seems to me that the speakrs do not form any beliefs towars those individual events in 100.7 and 100.8. Mayne not needed at all?	
			100.8	Babies are on formula						NB 100.8	NB 100.8	RT 100.8	RT 100.8	C		
B: mhm.  			101													
A: they don’t their number twos don’t smell at all.  			102.1	If babies're totally breast milk for a couple of months, the babie's number twos don't smell						CT+ 102.1	CT+ 102.1	JA 102.1	JA 102.1	C	here, aleternatively I did not recognized the sub-events -- which is better?	
			102.2	B will find 102 hard to believe						CT+ 102.2	CT+ 102.2	JA 102.2	JA 102.2			
B: oh okay.  			103						oh okay=agreement with 102.1							
A: They don’t smell like anything. It’s like {sniffing} 	They=the babies who drink breast milk's doo-doos		104	The babies who drink breast milk's doo-doos don't smell like anything.						CT+ 104	CT+ 104	JA 104	JA 104			
A: it looks like shit but it doesn’t smell like anything {laugh}.  	it=doo-doo		105.1	The baby who drinks breast milk's doo-doo looks like shit but doesn't smell like anything						CT+ 105.1	CT+ 105.1	JA 105.1	JA 105.1			
			105.2	The baby who drinks breast milk's doo-doo looks like shit 						CT+ 105.2	CT+ 105.2	JA 105.2	JA 105.2			
			105.3	The baby who drinks breast milk's doo-doo doesn't smell like anything						CT+ 105.3	CT+ 105.3	JA 105.3	JA 105.3			
B: oh okay.  			106						oh okay=agreement with 105.1							
B: {inhale}And did you pump or not? 	you=A		107.1	B asks A if A pumped A's breastmilk						CT+ 107.1	CT+ 107.1	JA 107.1	JA 107.1			
			107.2	A pumped A's breastmilk		 → 108 CT+	 → 108 JA	 → 108 CT+		CT+ 107.2	PS 107.2			LI	PS because it;s yes/no question	
A: yeah I pumped. What joy that was.  	that=pumping		108	Pumping was a joy						CT+ 108	CT+ 107.2,CT+ 108	JA 107.2,JA 108	JA 107.2,JA 108	C	not sure if A is being sarcastic here. If yes, we need to reject this event and add its negation below	
B: Did you use a manual or a %uh did you get one of those little battery ones? 	manual=manual pump,you=A,ones=pumps		109.1	B asks A if A used a manual pump or if A got one of those little pumps						CT+ 109.1	CT+ 109.1	JA 109.1	JA 109.1			
			109.2	A used a manual pump		 → 111 CT-	 → 111 RT	 → 111 PS		CT- 109.2	PS 109.2			LI	PS becasue yes/no question	
			109.3	A got one of those little battely pumps		 → 111 CT+	 → 111 JA	 → 111 CT+		CT+ 109.3	PS 109.3					
A: Batter- 			110													
A: Battery operated deal.  	deal=pump		111	  							CT- 109.2,CT+ 109.3	RT 109.2,JA 109.3	RT 109.2,JA 109.3			
B: yeah. I think so too.  	I=B		112.1	B thinks B will use battery operated pump.					B thinks so too=B will most likely use battery operated pump too	CT+ 112.1	CT+ 112.1	JA 112.1	JA 112.1			
			112.2	B will use battery operated pump						PS 112.2	PS 112.2	JA 112.2	JA 112.2	LI	embedded under "think" -- suggests that B will very likely do 112.2	
A: Now like I can tell you I can find the exact brand name of it if you want some time.  	I=A,it=battery operated pump,you=B		113.1	A can find the exact brand name of the pump if B wants some time.					A can tell B=unfinished sentence; change of mind. It seems like A cannot tell B the pump brand but can instead find the brand name for B	CT+ 113.1	CT+ 113.1	JA 113.1	JA 113.1			
			113.2	A can find the exact brand name of the pump some time.					like=filler	CT+ 113.2	CT+ 113.2	JA 113.2	JA 113.2			
			113.3	B wants A to find the exact brand name of the pump.						PS 113.3	NB 113.3			C	B does not respond to A's offer, that's why Bel B: NB	
B: {breath} 			114													
A: But like it had like this little like nozzle attachment thing on it which was what it said you were supposed to use.  	it=battery operated pump		115	The battery operated pump had this little like nozzle attachmment think, which said how to use the pump						CT+ 115	CT+ 115	JA 115	JA 115	C	not sure if the last "it" refers back to the pump or just to its part, i.e. the nozzle attachment	
B: mhm.  			116						mhm=sustaining the flow of the conversation							
B: mhm.  			117													
A: And I used it the first time for like three seconds I was like -- 	I=A,it=battery operated pump		118	A used the battery operated pump for the first time and A was like ah.					A was like ah=A did not like the feeling of the battery operated pump	CT+ 118	CT+ 118	JA 118	JA 118			
A: -- %ah [[drawn out as if in agony]] get {laugh} this thing off me.  	thing=battery operated pump		119	A wanted the battery operated pump off B					this thing=unpleasant thing	CT+ 119	CT+ 119	JA 119	JA 119			
B: {laugh} 			120						B laughs at 118 and 119 indicating that it was a funny occurence							
A: That really hurt.  	That=battery operated pump		121	The battery operated pump hurt						CT+ 121	CT+ 121	JA 121	JA 121			
B: {laugh} 			122													
A: {inhale} Don’t ever do that again.  	that=using the battery operated pump		123	A won't use the battery operated pump again												
A: And I forget what it said it was for I think it said it was for if you had small breasts or something. I don’t know what 	I=A,you=one,it=the instructions?		124.1	A forgets what the instructions said about the noozle						CT+ 124.1	CT+ 124.1	JA 124.1	JA 124.1			
			124.2	A thinks that the nozzle attachment was for if one had small breasts						CT+ 124.2	CT+ 124.2	JA 124.2	JA 124.2			
			124.3	The nozzle attachment was for if one had small breasts						PS 124.3	PS 124.3	JA 124.3	JA 124.3	LI	 embedded under 'think', so PS for both. 	
