Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
			42.3	B got B's car repaired	 → 43 CT+		 → 43 JA	 → 43 CT+		PS 42.3	CT+ 42.3	JA 42.3	JA 42.3			
B: yeah.  			43							CT+ 42.3		JA 42.3	JA 42.3			
A: Really? 			44	A asks B if B really got B's car repaired												
B: uh-huh.  			45													
A: %huh 			46													
A: Well  			47													
A: anyway 			48													
A: %um 			49													
A: What else is going on? You’re busy with work and 			50.1	A asks B what else is going on						CT+ 50.1	CT+ 50.1	JA 50.1	JA 50.1			
			50.2	Something else is going on						CT+ 50.2	CT+ 50.2	IN 50.2	IN 50.2			
			50.3	B is busy with work						CT+ 50.3	CT+ 50.3	JA 50.3	JA 50.3			
B: yeah. I work ten at night to six in the morning. &Bo &Bo’s happy because %uh he don’t have to go back to day care.  			51.1	B works ten at night to six in the morning						CT+ 51.1	CT+ 51.1	JA 51.1	JA 51.1			
			51.2	Bo's happy because Bo doesn't have to go back to day care						CT+ 51.2	CT+ 51.2	JA 51.2	JA 51.2			
			51.3	Bo's happy						CT+ 51.3	CT+ 51.3	JA 51.3	JA 51.3			
			51.4	Bo doesn't have to go back to day care						CT+ 51.4	CT+ 51.4	JA 51.4	JA 51.4			
A: Right. When do you sleep then? 			52.1	A asks B when B sleeps then						CT+ 52.1	CT+ 52.1	JA 52.1	JA 52.1			
			52.2	B sleeps						CT+ 52.2	CT+ 52.2	IN 52.2	IN 52.2			
B: I p- I sleep probably a couple hours in the morning and then like at nap time.  			53.1	B sleeps probably a couple hours in the morning						CT+ 53.1	CT+ 53.1	JA 53.1	JA 53.1			
			53.2	Then B sleeps probably like at nap time						CT+ 53.2	CT+ 53.2	JA 53.2	JA 53.2			
A: yeah. You never did require much sleep.  			54	B never required much sleep						CT+ 54	CT+ 54	JA 54	JA 54			
B: No.  			55													
A: yeah.  			56													
A: {breath} So has, has %uh the old man and the old lady called you lately? 			57.1	A asks B if the old man and the old lady called B lately						CT+ 57.1	CT+ 57.1	JA 57.1	JA 57.1			
			57.2	The old man and the old lady called B lately	 → 58 CT-		 → 58 RT	 → 58 PS		NB 57.2	CT- 57.2					
B: No.  			58	The old man and the old lady didn't call B lately						CT- 57.2,CT+ 58	CT+ 58	RT 57.2,JA 58	RT 57.2,JA 58			
A: oh.  			59													
B: Ain’t worried about it.  			60	B ain't worried about the old man and the old lady not calling B						CT+ 60	CT+ 60	JA 60	JA 60			
A: {breath} You know your sister was %uh  			61						unfinished utterance							
A: in &Illinois recently.  			62	B's sister was in Illinois recently		 → 64 CT+	 → 64 JA → 65 IN	 → 64 CT+ → 65 CT+		CT+ 62	PS 62	JA 62	JA 62			
B: She was? 			63	B asks A if B's sister was in Illinois recently						CT+ 63	CT+ 63	JA 63	JA 63			
A: yeah.  			64								CT+ 62	JA 62	JA 62			
B: What for? 			65	B asks A why B's sister was in Illinois						CT+ 65	CT+ 65	JA 65,IN 62	JA 65,JA 62			
A: Her old man kicked her out of the --  			66						unfinished sentence							
A: -- out of her house.  			67	B's sister old man kicked B's sister out of B's sister house						CT+ 67	CT+ 67	JA 67	JA 67			
B: yeah. Well &Jill’s been getting the shit beat out of her and all that at 			68	Jill has been getting the shit beat out of Jill			 → 70 JA	 → 70 CT+		PS 68	CT+ 68	JA 68	JA 68			
A: You’re kidding.  			69							 69	 69					
B: No.  			70							CT+ 70		JA 68	JA 68			
A: Well don’t get sucked into that.  			71	A advices B not to get sucked into Jill's problems						CT+ 71	CT+ 71	JA 71	JA 71			
B: oh I’m not.  			72	B won't get sucked into Jill's problems						CT+ 72	CT+ 72	JA 72	JA 72			
A: {breath} 			73													
B: Her baby’s got colic and she ((did funny)).  			74	Jill's baby got colic						CT+ 74	CT+ 74	JA 74	JA 74			
A: oh. Sounds like a real mess.  			75	Jill's situation sounds like a real mess						CT+ 75	CT+ 75	JA 75	JA 75			
A: Too bad.  			76													
B: So is she home for good? 			77.1	B asks A if Kara is home for good						CT+ 77.1	CT+ 77.1	JA 77.1	JA 77.1			
			77.2	Kara is home for good		 → 78 CT-	 → 78 RT	 → 78 PS		CT- 77.2	NB 77.2					
A: No.  			78	Kara isn't home for good						CT+ 78	CT- 77.2,CT+ 78	RT 77.2,JA 78	RT 77.2,JA 78			
B: He took her back? 			79.1	B asks A if the old man took Kara back						CT+ 79.1	CT+ 79.1	JA 79.1	JA 79.1			
			79.2	The old man took Kara back		 → 80 CT-	 → 80 RT	 → 80 PS		CT- 79.2	PS 79.2					
A: No. He didn’t take her back but his %uh mom was going to buy her a car -- 			80	 					unfinished utterance		CT- 79.2	RT 79.2	RT 79.2			
A: -- so that she’d stay out there and sure enough she’s staying out there.  			81.1	The old man didn't take Kara back but the old man's mom was going to buy Kara a car so that Kara would stay out there						CT+ 81.1	CT+ 81.1	JA 81.1	JA 81.1			
			81.2	The old man didn't take Kara back						CT+ 81.2	CT+ 81.2	JA 81.2	JA 81.2			
			81.3	The old man's mom was going to buy Kara a car						CT+ 81.3	CT+ 81.3	JA 81.3	JA 81.3			
			81.4	The old man's mom bought Kara a car						CT- 81.4	CT- 81.4	RT 81.4	RT 81.4			
			81.5	Kara would stay out there						CT+ 81.5	CT+ 81.5	JA 81.5	JA 81.5			
			81.6	Kara is staying out there						CT+ 81.6	CT+ 81.6	JA 81.6	JA 81.6			
B: oh yeah. She working it.  			82	Kara is working Kara's situation												
A: %huh? 			83													
B: She working it.  			84													
A: So anyway she called me a couple days before she was going to come home and [dishes clinking] {lipsmack} and I go %um {breath}  			85.1	Kara called A a couple of days ago before Kara was going to come home						CT+ 85.1	CT+ 85.1	JA 85.1	JA 85.1			
			85.2	Kara called A a couple of days ago						CT+ 85.2	CT+ 85.2	JA 85.2	JA 85.2			
			85.3	Kara was going to come home						CT+ 85.3	CT+ 85.3	JA 85.3	JA 85.3			
A: {breath} can you tell me why you would stay in a place where you know 			86													
A: you’re not wanted 			87.1	A asked Kara why Kara would stay in a place where Kara is not wanted						CT+ 87.1	CT+ 87.1	JA 87.1	JA 87.1			
			87.2	Kara would stay in a place where Jill is not wanted						CT+ 87.2	CT+ 87.2	IN 87.2	IN 87.2			
			87.3	Kara is not wanted in the old man's place						CT+ 87.3	CT+ 87.3	IN 87.3	IN 87.3			
A: in a state you know that where you don’t know hardly anybody.  			88.1	A asked Kara why Kara would stay in a state where Kara hardly knows anybody						CT+ 88.1	CT+ 88.1	JA 88.1	JA 88.1			
			88.2	Kara would stay in a state where Kara hardly knows anybody						CT+ 88.2	CT+ 88.2	IN 88.2	IN 88.2			
			88.3	Kara hardly knows anybody						CT+ 88.3	CT+ 88.3	IN 88.3	IN 88.3			
A: {breath} So then it that’s when it all came out. She said well &Pat I think her name’s &Patty, &Patty’s going to buy me a car. [[last seven words spoken in imitation of Kara’s voice]] 			89.1	That's when Kara's problems came out						CT+ 89.1	CT+ 89.1	JA 89.1	JA 89.1			
			89.2	B thinks that the old man's mom is called Patty						CT+ 89.2	CT+ 89.2	JA 89.2	JA 89.2			
			89.3	The old man's mom is called Patty						PS 89.3	PS 89.3	JA 89.3	JA 89.3			
			89.4	Kara said that Patty was going to but Kara a car						CT+ 89.4	CT+ 89.4	IN 89.4	IN 89.4			
			89.5	Patty was going to but Kara a car						PS 89.5	PS 89.5	IN 89.5	IN 89.5			
A: She’s going to help me out. [[still in imitation]] I said 			90.1	Kara said that Patty was going to help Kara out						CT+ 90.1	CT+ 90.1	JA 90.1	JA 90.1			
			90.2	Patty was going to help Kara out						PS 90.2	PS 90.2	JA 90.2	JA 90.2			
A: &Kara you know why she’s going to do that is because she wants  			91	 					unfinished utterance							
A: the kid to stay there so she can see your grandson.  			92.1	A told Kara that Patty is going to buy Kara a car because Patty wants the kid to stay there so Patty can see Patty's grandson						CT+ 92.1	CT+ 92.1	JA 92.1	JA 92.1			
			92.2	Patty is going to buy Kara a car because Patty wants the kid to stay there so Patty can see Patty's grandson						CT+ 92.2	CT+ 92.2	JA 92.2	JA 92.2			
			92.3	Patty is going to buy Kara a car						PS 92.3	PS 92.3	JA 92.3	JA 92.3			
			92.4	Patty wants the kid to stay there so Patty can see Patty's grandson						CT+ 92.4	CT+ 92.4	JA 92.4	JA 92.4			
			92.5	Patty wants the kid to stay there						CT+ 92.5	CT+ 92.5	JA 92.5	JA 92.5			
			92.6	Patty can see Patty's grandson						CT+ 92.6	CT+ 92.6	JA 92.6	JA 92.6			
B: mhm.  			93													
A: so she got all pissed off at me.  			94	Kara got all pissed off at A						CT+ 94	CT+ 94	JA 94	JA 94			
A: I said you’re being used.  			95.1	A told Kara that Kara is being used						CT+ 95.1	CT+ 95.1	JA 95.1	JA 95.1			
			95.2	Kara is being used						CT+ 95.2	CT+ 95.2	JA 95.2	JA 95.2			
A: You’re being bought. {breath} [dishes clanging] 			96.1	A told Kara that Kara is being bought						CT+ 96.1	CT+ 96.1	JA 96.1	JA 96.1			
			96.2	Kara is being bought						CT+ 96.2	CT+ 96.2	JA 96.2	JA 96.2			
B: Man she going to be like &Jill become  			97	Kara is going to be like Jill						CT+ 97	CT+ 97	JA 97	JA 97			
A: I said why don’t you 			98						unfinished utterance							
A: so I said why don’t you stand up on your own two feet.  			99.1	A asked Kara why Kara doesn't stand up on Kara's own two feet						CT+ 99.1	CT+ 99.1	JA 99.1	JA 99.1			
			99.2	Kara doesn't stand up on Kara's own two feet						CT+ 99.2	CT+ 99.2	IN 99.2	IN 99.2			
B: She going to be like &Jill and become a product of the state and shit live off welfare and ((god damn)).  			100.1	Kara is going to become a product of the state						CT+ 100.1	CT+ 100.1	JA 100.1	JA 100.1			
			100.2	Kara is going to live off welfare						CT+ 100.2	CT+ 100.2	JA 100.2	JA 100.2			
A: Then you know what she said to me? 			101.1	A asks B if B knows what Kara said to A						CT+ 101.1	CT+ 101.1	JA 101.1	JA 101.1			
			101.2	B knows what Kara said to A						CT- 101.2	CT- 101.2	RT 101.2	RT 101.2			
			101.3	Kara said something to A						CT+ 101.3	CT+ 101.3	IN 101.3	IN 101.3			
B: What.  			102	B asks A what Kara said to A						CT+ 102	CT+ 102	JA 102	JA 102			
A: [channel noise] She said 			103													
A: {lipsmack} {breath} &uh, and this sounded just like something like %uh her mother-in-law or w- I don’t know th- what the hell relationsh- it wouldn’t be mother-in-law.  			104	What Kara said to A sounded like Kara's mother-in-law						CT+ 104	CT+ 104	JA 104	JA 104			
A: [background clink] What %uh &Drew’s mom 			105													
A: probably is saying to her. {breath} &Kara says well I have to do what’s right for &David. [[imitating Kara in last nine words]] 			106.1	What Kara said to A sounded like what Drew's mom is probably saying to Kara						CT+ 106.1	CT+ 106.1	JA 106.1	JA 106.1			
			106.2	Drew's mom is probably saying someting to Kara						CT+ 106.2	CT+ 106.2	IN 106.2	IN 106.2			
			106.3	Kara's mother-in-law is Drew's mother						CT+ 106.3	CT+ 106.3	JA 106.3	JA 106.3			
			106.4	Kara says Kara has to to what's right for David						CT+ 106.4	CT+ 106.4	JA 106.4	JA 106.4			
			106.5	Kara has to to what's right for David	 → 108.2 CT-	 → 108.2 CT-	 → 108.2 RT	 → 108.2 PS		CT+ 106.5	CT+ 106.5	JA 106.5	JA 106.5			
B: ((oh)) [distorted] 			107													
A: And I said no &Kara you have to do what’s right for &Kara. 			108.1	A said that Kara doesn't have to do what's right for David						CT+ 108.1	CT+ 108.1	JA 108.1	JA 108.1			
			108.2	Kara doesn't have to do what's right for David						CT+ 108.2,CT- 106.5	CT+ 108.2,CT- 106.5	JA 108.2,RT 106.5	JA 108.2,RT 106.5			
			108.3	A said that Kara has to do what's right for Kara						CT+ 108.3	CT+ 108.3	JA 108.3	JA 108.3			
			108.4	Kara has to do what's right for Kara						CT+ 108.4	CT+ 108.4	JA 108.4	JA 108.4			
A: And what’s right for &Kara will be right for &David.  			109	And what's right for Kara will be right for David						CT+ 109	CT+ 109	JA 109	JA 109			
B: That’s right. As long as you feed him, love him and take care of him.  			110.1	As long as Kara feeds David, love David and take care of David, David will be good						CT+ 110.1	CT+ 110.1	JA 110.1	JA 110.1			
			110.2	Kara feeds David						CT+ 110.2	CT+ 110.2	JA 110.2	JA 110.2			
			110.3	Kara loves David						CT+ 110.3	CT+ 110.3	JA 110.3	JA 110.3			
			110.4	Kara takes care of David						CT+ 110.4	CT+ 110.4	JA 110.4	JA 110.4			
			110.5	David will be good						CT+ 110.5	CT+ 110.5	JA 110.5	JA 110.5			
A: oh well I don’t want him to not know his daddy. [[imitating Kara]] 			111.1	Kara said that Kara doesn't want David not to know David's daddy						CT+ 111.1	CT+ 111.1	JA 111.1	JA 111.1			
			111.2	Kara doesn't want David not to know David's daddy			 → 113 IN	 → 113 CT-		CT+ 111.2	CT+ 111.2	JA 111.2	JA 111.2			
			111.3	David doesn't know David's daddy						CT- 111.3	CT- 111.3	RT 111.3	RT 111.3			
			111.4	David knows David's daddy						CT+ 111.4	CT+ 111.4	JA 111.4	JA 111.4			
A: I’m like 			112													
A: {breath} Why? 			113	A asked Kara why Kara doesn't want David not to know David's daddy						CT+ 113	CT+ 113	JA 113,IN 111.2	JA 113,IN 111.2			
A: I wouldn’t I w-, I you know what I could never be with someone who didn’t love me.  			114.1	A could never be with someone who didn't love A						CT+ 114.1	CT+ 114.1	JA 114.1	JA 114.1			
			114.2	Someone didn't love A						CT- 114.2	CT- 114.2	RT 114.2	RT 114.2			
A: Could you? 			115.1	A asks B if B could be with anyone who didn't love B						CT+ 115.1	CT+ 115.1	JA 115.1	JA 115.1			
			115.2	B could never be with someone who didn't love B		 → 116 CT+	 → 116 JA	 → 116 CT+		NB 115.2						
			115.3	Someone didn't love B						CT- 115.3	CT- 115.3	RT 115.3	RT 115.3			
B: Hell no.  			116								CT+ 115.2	JA 115.2	JA 115.2			
A: I don’t get that.  			117.1	A doesn't get why someone could be with someone who didn't love someone						CT+ 117.1	CT+ 117.1	JA 117.1	JA 117.1			
			117.2	Someone could be with someone who didn't love someone						PS 117.2	PS 117.2	JA 117.2	JA 117.2			
			117.3	Someone didn't love someone						CT- 117.3	CT- 117.3	RT 117.3	RT 117.3			
A: I don’t get that. Anyway so I spouted my mouth off  			118	A spouted A's mouth off						CT+ 118	CT+ 118	JA 118	JA 118			
A: {breath} Well I 			119						unfinished utterance							
B: Good for you.  			120	A spouting A's mouth off is good for A						CT+ 120	CT+ 120	JA 120	JA 120			
A: I have to tell you the week before I met  			121						unfinished sentence							
A: %uh  			122													
A: the %uh [[quietly groaning]] sergeant and lieutenant at the %uh &Des &Moines &McDonald’s 			123.1	A has to tell B that A met sergeant and lieutenant at the Des Moines McDonald's						CT+ 123.1	CT+ 123.1	JA 123.1	JA 123.1			
			123.2	A tells B A met sergeant and lieutenant at the Des Moines McDonald's						CT+ 123.2	CT+ 123.2	JA 123.2	JA 123.2			
			123.3	A met sergeant and lieutenant at the Des Moines McDonald's						CT+ 123.3	CT+ 123.3	JA 123.3	JA 123.3			
A: because they were dropping off &Shawn.  			124.1	A met sergeant and lieutenant at the Des Moines McDonald's because sergeant and lieutenant were dropping Shawn off						CT+ 124.1	CT+ 124.1	JA 124.1	JA 124.1			
			124.2	Sergeant and lieutenant were dropping Shawn off						CT+ 124.2	CT+ 124.2	JA 124.2	JA 124.2			
B: Sergeant and lieutenant? 			125	B asks A who are sergeant and lieutenant						CT+ 125	CT+ 125	JA 125	JA 125			
A: &Jennings.  			126	Sergeant and lieutenant are sergeant and lieutenant Jennings		 → 129.2 CT+	 → 129.2 JA	 → 129.2 CT+		CT+ 126	NB 126					
B: %huh? 			127													
A: Sergeant and lieutenant &Jennings.  			128													
B: You talking about mom and dad? {laugh} 			129.1	B asks A if sergeant and lieutenant Jennings are A and B's mom and dad						CT+ 129.1	CT+ 129.1	JA 129.1	JA 129.1			
			129.2	Sergeant and lieutenant Jennings are A and B's mom and dad		 → 130 CT+	 → 130 JA	 → 130 CT+		CT+ 129.2	CT+ 126,PS 129.2	JA 126,JA 129.2	JA 126,JA 129.2			
A: yeah.  			130								CT+ 129.2	JA 129.2	JA 129.2			
A: %eh here’s why I call them that.  			131	A calls A and B's mom and dad sergeant and lieutenant because of some reason						CT+ 131	CT+ 131	JA 131	JA 131			
A: So we’re sitting there in &McDonald’s p- and I’m they had &Shawn for a week {breath} and %uh we’re visiting and, and %uh {breath} they start in on me right away.  			132.1	A and A and B's mom and dad were sitting in McDonald's						CT+ 132.1	CT+ 132.1	JA 132.1	JA 132.1			
			132.2	A and B's mom and dad had Shawn for a week						CT+ 132.2	CT+ 132.2	JA 132.2	JA 132.2			
			132.3	A and someone were visiting						CT+ 132.3	CT+ 132.3	JA 132.3	JA 132.3			
			132.4	A and B's mom and dad start in on A right away						CT+ 132.4	CT+ 132.4	JA 132.4	JA 132.4			
A: And you keep your mouth shut and you don’t say this and you don’t say that and don’t say this and don’t say that. [[adopting the voice of an admonishing parent for mocking effect]] {breath} It was the whole time was %uh was nothing but a big fucking lecture.  			133.1	A and B's mom and dad told A to keep A's mouth shut						CT+ 133.1	CT+ 133.1	JA 133.1	JA 133.1			
			133.2	A keeps A's mouth shut						PS 133.2	PS 133.2	JA 133.2	JA 133.2			
			133.3	A and B's mom and dad told A not to say this and that						CT+ 133.3	CT+ 133.3	JA 133.3	JA 133.3			
			133.4	A says this and that						PS 133.4	PS 133.4	JA 133.4	JA 133.4			
			133.5	The whole fucking time A and B's mom and dad were lecturing A						CT+ 133.5	CT+ 133.5	JA 133.5	JA 133.5			
B: {laugh} You say oh I’ve got to go.  			134.1	A said A has got to go					joke	CT- 134.1	CT- 134.1	RT 134.1	RT 134.1			
			134.2	A had got to go					joke	CT- 134.2	CT- 134.2	RT 134.2	RT 134.2			
A: So I think, I think I did that on purpose.  			135.1	A thinks A called A and B's mom and dad sergeant and lieutenant because A and B's mom and dad kept lecturing A						CT+ 135.1	CT+ 135.1	JA 135.1	JA 135.1			
			135.2	A called A and B's mom and dad sergeant and lieutenant because A and B's mom and dad kept lecturing A						CT+ 135.2	CT+ 135.2	JA 135.2	JA 135.2			
			135.3	A called A and B's mom and dad sergeant and lieutenant						CT+ 135.3	CT+ 135.3	IN 135.3	IN 135.3			
			135.4	A and B's mom and dad kept lecturing A						CT+ 135.4	CT+ 135.4	IN 135.4	IN 135.4			
B: Good for you.  			136	It's good for A to call A and B's mom and dad sergeant and lieutenant						CT+ 136	CT+ 136	JA 136	JA 136			
A: {breath} Well then the following weekend was father’s day.  			137	Then the following weekend was father's day						CT+ 137	CT+ 137	JA 137	JA 137			
A: And %uh we were supposed to all meet in &Des M- 			138.1	A and A and B's mom and dad were supposed to all meet in Des Moines						CT+ 138.1	CT+ 138.1	JA 138.1	JA 138.1			
			138.2	A and A and B's mom and dad met in Des Moines						CT+ 138.2	CT+ 138.2	JA 138.2	JA 138.2			
A: oh that was to drop &Shawn off. okay. yeah.  {breath} And then we’re going to meet and pick &Shawn up and see &Kara and &David. I’ve never seen that kid.  			139.1	A and A and B's mom and dad were supposed to all meet in Des Moines to drop Shawn off						CT+ 139.1	CT+ 139.1	JA 139.1	JA 139.1			
			139.2	A and B's mom and dad were supposed to drop off Shawn						CT+ 139.2	CT+ 139.2	JA 139.2	JA 139.2			
			139.3	A and A and B's mom and dad dropped Shawn off						CT+ 139.3	CT+ 139.3	JA 139.3	JA 139.3			
			139.4	A and A and B's mom and dad were going to see Kara and David						CT+ 139.4	CT+ 139.4	JA 139.4	JA 139.4			
			139.5	A and A and B's mom and dad saw Kara and David						CT- 139.5	PS 139.5	RT 139.5	RT 139.5			
			139.6	A has never seen David						CT+ 139.6	CT+ 139.6	JA 139.6	JA 139.6			
A: Have no clue what he, well you haven’t either.  			140	B hasn't seen David either						CT+ 140	CT+ 140	JA 140	JA 140			
B: uh-uh.  			141													
A: So %um 			142													
A: we get there and there’s dad with his hands in his pocket and he meets us out at the car and, {breath} and %uh  			143.1	A and someone got to A and B's mom and dad						CT+ 143.1	CT+ 143.1	JA 143.1	JA 143.1			
			143.2	A and B's dad was there with A and B's dad hands in A and B's dad's pocket						CT+ 143.2	CT+ 143.2	JA 143.2	JA 143.2			
			143.3	A and B's dad met A and someone at the car						CT+ 143.3	CT+ 143.3	JA 143.3	JA 143.3			
A: %um mom was sitting on the bench for once not huddling around dad. {breath} 			144.1	A and B's mom was sitting on the bench						CT+ 144.1	CT+ 144.1	JA 144.1	JA 144.1			
			144.2	A and B's mom was not huddling around A and B's dad for once						CT+ 144.2	CT+ 144.2	JA 144.2	JA 144.2			
B: {laugh} 			145													
A: And %um I said where’s &Kara. {breath} He said well she didn’t come.  			146.1	A asked A and B's mom and dad where Kara is						CT+ 146.1	CT+ 146.1	JA 146.1	JA 146.1			
			146.2	Kara was somewhere						CT+ 146.2	CT+ 146.2	IN 146.2	IN 146.2			
			146.3	A and B's dad said Kara didn't come						CT+ 146.3	CT+ 146.3	JA 146.3	JA 146.3			
