sno,eno,belief_A,belief_B,belief_Q,cg_A,cg_B,order,question,answer,context_type,cid,annotator
1,1.1,CT+,CT+,CT-,JA,JA,3,"Does A believe that B believes that A believes it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,end,4245,Magda
1,1.1,CT+,CT+,CT+,JA,JA,3,"Does A believe that B believes that A believes it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
1,1.1,CT+,CT+,PS,JA,JA,3,"Does A believe that B believes that A believes it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
1,1.1,CT+,CT+,CT-,JA,JA,3,"Does B believe that A believes that B believes it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,end,4245,Magda
1,1.1,CT+,CT+,CT+,JA,JA,3,"Does B believe that A believes that B believes it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
1,1.1,CT+,CT+,PS,JA,JA,3,"Does B believe that A believes that B believes it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
105,1.1,CT+,CT+,CT-,JA,JA,1,"Does A believe it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,mid,4245,Magda
105,1.1,CT+,CT+,CT+,JA,JA,1,"Does A believe it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,mid,4245,Magda
105,1.1,CT+,CT+,PS,JA,JA,1,"Does A believe it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,mid,4245,Magda
105,1.1,CT+,CT+,CT-,JA,JA,1,"Does B believe it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,mid,4245,Magda
105,1.1,CT+,CT+,CT+,JA,JA,1,"Does B believe it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,mid,4245,Magda
105,1.1,CT+,CT+,PS,JA,JA,1,"Does B believe it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,mid,4245,Magda
105,1.1,CT+,CT+,CT-,JA,JA,2,"Does A believe that B believes it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,mid,4245,Magda
105,1.1,CT+,CT+,CT+,JA,JA,2,"Does A believe that B believes it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,mid,4245,Magda
105,1.1,CT+,CT+,PS,JA,JA,2,"Does A believe that B believes it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,mid,4245,Magda
105,1.1,CT+,CT+,CT-,JA,JA,2,"Does B believe that A believes it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,mid,4245,Magda
105,1.1,CT+,CT+,CT+,JA,JA,2,"Does B believe that A believes it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,mid,4245,Magda
105,1.1,CT+,CT+,PS,JA,JA,2,"Does B believe that A believes it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,mid,4245,Magda
105,1.1,CT+,CT+,CT-,JA,JA,3,"Does A believe that B believes that A believes it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,mid,4245,Magda
105,1.1,CT+,CT+,CT+,JA,JA,3,"Does A believe that B believes that A believes it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,mid,4245,Magda
105,1.1,CT+,CT+,PS,JA,JA,3,"Does A believe that B believes that A believes it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,mid,4245,Magda
105,1.1,CT+,CT+,CT-,JA,JA,3,"Does B believe that A believes that B believes it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,mid,4245,Magda
105,1.1,CT+,CT+,CT+,JA,JA,3,"Does B believe that A believes that B believes it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,mid,4245,Magda
105,1.1,CT+,CT+,PS,JA,JA,3,"Does B believe that A believes that B believes it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,mid,4245,Magda
210,1.1,CT+,CT+,CT-,JA,JA,1,"Does A believe it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,end,4245,Magda
210,1.1,CT+,CT+,CT+,JA,JA,1,"Does A believe it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
210,1.1,CT+,CT+,PS,JA,JA,1,"Does A believe it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
210,1.1,CT+,CT+,CT-,JA,JA,1,"Does B believe it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,end,4245,Magda
210,1.1,CT+,CT+,CT+,JA,JA,1,"Does B believe it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
210,1.1,CT+,CT+,PS,JA,JA,1,"Does B believe it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
210,1.1,CT+,CT+,CT-,JA,JA,2,"Does A believe that B believes it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,end,4245,Magda
210,1.1,CT+,CT+,CT+,JA,JA,2,"Does A believe that B believes it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
210,1.1,CT+,CT+,PS,JA,JA,2,"Does A believe that B believes it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
210,1.1,CT+,CT+,CT-,JA,JA,2,"Does B believe that A believes it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,end,4245,Magda
210,1.1,CT+,CT+,CT+,JA,JA,2,"Does B believe that A believes it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
210,1.1,CT+,CT+,PS,JA,JA,2,"Does B believe that A believes it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
210,1.1,CT+,CT+,CT-,JA,JA,3,"Does A believe that B believes that A believes it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,end,4245,Magda
210,1.1,CT+,CT+,CT+,JA,JA,3,"Does A believe that B believes that A believes it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
210,1.1,CT+,CT+,PS,JA,JA,3,"Does A believe that B believes that A believes it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
210,1.1,CT+,CT+,CT-,JA,JA,3,"Does B believe that A believes that B believes it is certainly not true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",No,end,4245,Magda
210,1.1,CT+,CT+,CT+,JA,JA,3,"Does B believe that A believes that B believes it is certainly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
210,1.1,CT+,CT+,PS,JA,JA,3,"Does B believe that A believes that B believes it is possibly true that Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan?",Yes,end,4245,Magda
1,1.2,CT+,CT+,CT-,IN,IN,1,Does A believe it is certainly not true that The company solicits?,No,end,4245,Magda
1,1.2,CT+,CT+,CT+,IN,IN,1,Does A believe it is certainly true that The company solicits?,Yes,end,4245,Magda
1,1.2,CT+,CT+,PS,IN,IN,1,Does A believe it is possibly true that The company solicits?,Yes,end,4245,Magda
1,1.2,CT+,CT+,CT-,IN,IN,1,Does B believe it is certainly not true that The company solicits?,No,end,4245,Magda
1,1.2,CT+,CT+,CT+,IN,IN,1,Does B believe it is certainly true that The company solicits?,Yes,end,4245,Magda
1,1.2,CT+,CT+,PS,IN,IN,1,Does B believe it is possibly true that The company solicits?,Yes,end,4245,Magda
1,1.2,CT+,CT+,CT-,IN,IN,2,Does A believe that B believes it is certainly not true that The company solicits?,No,end,4245,Magda
1,1.2,CT+,CT+,CT+,IN,IN,2,Does A believe that B believes it is certainly true that The company solicits?,Yes,end,4245,Magda
1,1.2,CT+,CT+,PS,IN,IN,2,Does A believe that B believes it is possibly true that The company solicits?,Yes,end,4245,Magda
1,1.2,CT+,CT+,CT-,IN,IN,2,Does B believe that A believes it is certainly not true that The company solicits?,No,end,4245,Magda
1,1.2,CT+,CT+,CT+,IN,IN,2,Does B believe that A believes it is certainly true that The company solicits?,Yes,end,4245,Magda
1,1.2,CT+,CT+,PS,IN,IN,2,Does B believe that A believes it is possibly true that The company solicits?,Yes,end,4245,Magda
1,1.2,CT+,CT+,CT-,IN,IN,3,Does A believe that B believes that A believes it is certainly not true that The company solicits?,No,end,4245,Magda
1,1.2,CT+,CT+,CT+,IN,IN,3,Does A believe that B believes that A believes it is certainly true that The company solicits?,Yes,end,4245,Magda
1,1.2,CT+,CT+,PS,IN,IN,3,Does A believe that B believes that A believes it is possibly true that The company solicits?,Yes,end,4245,Magda
1,1.2,CT+,CT+,CT-,IN,IN,3,Does B believe that A believes that B believes it is certainly not true that The company solicits?,No,end,4245,Magda
1,1.2,CT+,CT+,CT+,IN,IN,3,Does B believe that A believes that B believes it is certainly true that The company solicits?,Yes,end,4245,Magda
1,1.2,CT+,CT+,PS,IN,IN,3,Does B believe that A believes that B believes it is possibly true that The company solicits?,Yes,end,4245,Magda
105,1.2,CT+,CT+,CT-,IN,IN,1,Does A believe it is certainly not true that The company solicits?,No,mid,4245,Magda
105,1.2,CT+,CT+,CT+,IN,IN,1,Does A believe it is certainly true that The company solicits?,Yes,mid,4245,Magda
105,1.2,CT+,CT+,PS,IN,IN,1,Does A believe it is possibly true that The company solicits?,Yes,mid,4245,Magda
105,1.2,CT+,CT+,CT-,IN,IN,1,Does B believe it is certainly not true that The company solicits?,No,mid,4245,Magda
105,1.2,CT+,CT+,CT+,IN,IN,1,Does B believe it is certainly true that The company solicits?,Yes,mid,4245,Magda
105,1.2,CT+,CT+,PS,IN,IN,1,Does B believe it is possibly true that The company solicits?,Yes,mid,4245,Magda
105,1.2,CT+,CT+,CT-,IN,IN,2,Does A believe that B believes it is certainly not true that The company solicits?,No,mid,4245,Magda
105,1.2,CT+,CT+,CT+,IN,IN,2,Does A believe that B believes it is certainly true that The company solicits?,Yes,mid,4245,Magda
105,1.2,CT+,CT+,PS,IN,IN,2,Does A believe that B believes it is possibly true that The company solicits?,Yes,mid,4245,Magda
105,1.2,CT+,CT+,CT-,IN,IN,2,Does B believe that A believes it is certainly not true that The company solicits?,No,mid,4245,Magda
105,1.2,CT+,CT+,CT+,IN,IN,2,Does B believe that A believes it is certainly true that The company solicits?,Yes,mid,4245,Magda
105,1.2,CT+,CT+,PS,IN,IN,2,Does B believe that A believes it is possibly true that The company solicits?,Yes,mid,4245,Magda
105,1.2,CT+,CT+,CT-,IN,IN,3,Does A believe that B believes that A believes it is certainly not true that The company solicits?,No,mid,4245,Magda
105,1.2,CT+,CT+,CT+,IN,IN,3,Does A believe that B believes that A believes it is certainly true that The company solicits?,Yes,mid,4245,Magda
105,1.2,CT+,CT+,PS,IN,IN,3,Does A believe that B believes that A believes it is possibly true that The company solicits?,Yes,mid,4245,Magda
105,1.2,CT+,CT+,CT-,IN,IN,3,Does B believe that A believes that B believes it is certainly not true that The company solicits?,No,mid,4245,Magda
105,1.2,CT+,CT+,CT+,IN,IN,3,Does B believe that A believes that B believes it is certainly true that The company solicits?,Yes,mid,4245,Magda
105,1.2,CT+,CT+,PS,IN,IN,3,Does B believe that A believes that B believes it is possibly true that The company solicits?,Yes,mid,4245,Magda
210,1.2,CT+,CT+,CT-,IN,IN,1,Does A believe it is certainly not true that The company solicits?,No,end,4245,Magda
210,1.2,CT+,CT+,CT+,IN,IN,1,Does A believe it is certainly true that The company solicits?,Yes,end,4245,Magda
210,1.2,CT+,CT+,PS,IN,IN,1,Does A believe it is possibly true that The company solicits?,Yes,end,4245,Magda
210,1.2,CT+,CT+,CT-,IN,IN,1,Does B believe it is certainly not true that The company solicits?,No,end,4245,Magda
210,1.2,CT+,CT+,CT+,IN,IN,1,Does B believe it is certainly true that The company solicits?,Yes,end,4245,Magda
210,1.2,CT+,CT+,PS,IN,IN,1,Does B believe it is possibly true that The company solicits?,Yes,end,4245,Magda
210,1.2,CT+,CT+,CT-,IN,IN,2,Does A believe that B believes it is certainly not true that The company solicits?,No,end,4245,Magda
210,1.2,CT+,CT+,CT+,IN,IN,2,Does A believe that B believes it is certainly true that The company solicits?,Yes,end,4245,Magda
210,1.2,CT+,CT+,PS,IN,IN,2,Does A believe that B believes it is possibly true that The company solicits?,Yes,end,4245,Magda
210,1.2,CT+,CT+,CT-,IN,IN,2,Does B believe that A believes it is certainly not true that The company solicits?,No,end,4245,Magda
210,1.2,CT+,CT+,CT+,IN,IN,2,Does B believe that A believes it is certainly true that The company solicits?,Yes,end,4245,Magda
210,1.2,CT+,CT+,PS,IN,IN,2,Does B believe that A believes it is possibly true that The company solicits?,Yes,end,4245,Magda
210,1.2,CT+,CT+,CT-,IN,IN,3,Does A believe that B believes that A believes it is certainly not true that The company solicits?,No,end,4245,Magda
210,1.2,CT+,CT+,CT+,IN,IN,3,Does A believe that B believes that A believes it is certainly true that The company solicits?,Yes,end,4245,Magda
210,1.2,CT+,CT+,PS,IN,IN,3,Does A believe that B believes that A believes it is possibly true that The company solicits?,Yes,end,4245,Magda
210,1.2,CT+,CT+,CT-,IN,IN,3,Does B believe that A believes that B believes it is certainly not true that The company solicits?,No,end,4245,Magda
210,1.2,CT+,CT+,CT+,IN,IN,3,Does B believe that A believes that B believes it is certainly true that The company solicits?,Yes,end,4245,Magda
210,1.2,CT+,CT+,PS,IN,IN,3,Does B believe that A believes that B believes it is possibly true that The company solicits?,Yes,end,4245,Magda
1,1.3,CT+,CT+,CT-,JA,JA,1,Does A believe it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,end,4245,Magda
1,1.3,CT+,CT+,CT+,JA,JA,1,Does A believe it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
1,1.3,CT+,CT+,PS,JA,JA,1,Does A believe it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
1,1.3,CT+,CT+,CT-,JA,JA,1,Does B believe it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,end,4245,Magda
1,1.3,CT+,CT+,CT+,JA,JA,1,Does B believe it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
1,1.3,CT+,CT+,PS,JA,JA,1,Does B believe it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
1,1.3,CT+,CT+,CT-,JA,JA,2,Does A believe that B believes it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,end,4245,Magda
1,1.3,CT+,CT+,CT+,JA,JA,2,Does A believe that B believes it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
1,1.3,CT+,CT+,PS,JA,JA,2,Does A believe that B believes it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
1,1.3,CT+,CT+,CT-,JA,JA,2,Does B believe that A believes it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,end,4245,Magda
1,1.3,CT+,CT+,CT+,JA,JA,2,Does B believe that A believes it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
1,1.3,CT+,CT+,PS,JA,JA,2,Does B believe that A believes it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
1,1.3,CT+,CT+,CT-,JA,JA,3,Does A believe that B believes that A believes it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,end,4245,Magda
1,1.3,CT+,CT+,CT+,JA,JA,3,Does A believe that B believes that A believes it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
1,1.3,CT+,CT+,PS,JA,JA,3,Does A believe that B believes that A believes it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
1,1.3,CT+,CT+,CT-,JA,JA,3,Does B believe that A believes that B believes it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,end,4245,Magda
1,1.3,CT+,CT+,CT+,JA,JA,3,Does B believe that A believes that B believes it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
1,1.3,CT+,CT+,PS,JA,JA,3,Does B believe that A believes that B believes it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
105,1.3,CT+,CT+,CT-,JA,JA,1,Does A believe it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,mid,4245,Magda
105,1.3,CT+,CT+,CT+,JA,JA,1,Does A believe it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,mid,4245,Magda
105,1.3,CT+,CT+,PS,JA,JA,1,Does A believe it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,mid,4245,Magda
105,1.3,CT+,CT+,CT-,JA,JA,1,Does B believe it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,mid,4245,Magda
105,1.3,CT+,CT+,CT+,JA,JA,1,Does B believe it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,mid,4245,Magda
105,1.3,CT+,CT+,PS,JA,JA,1,Does B believe it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,mid,4245,Magda
105,1.3,CT+,CT+,CT-,JA,JA,2,Does A believe that B believes it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,mid,4245,Magda
105,1.3,CT+,CT+,CT+,JA,JA,2,Does A believe that B believes it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,mid,4245,Magda
105,1.3,CT+,CT+,PS,JA,JA,2,Does A believe that B believes it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,mid,4245,Magda
105,1.3,CT+,CT+,CT-,JA,JA,2,Does B believe that A believes it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,mid,4245,Magda
105,1.3,CT+,CT+,CT+,JA,JA,2,Does B believe that A believes it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,mid,4245,Magda
105,1.3,CT+,CT+,PS,JA,JA,2,Does B believe that A believes it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,mid,4245,Magda
105,1.3,CT+,CT+,CT-,JA,JA,3,Does A believe that B believes that A believes it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,mid,4245,Magda
105,1.3,CT+,CT+,CT+,JA,JA,3,Does A believe that B believes that A believes it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,mid,4245,Magda
105,1.3,CT+,CT+,PS,JA,JA,3,Does A believe that B believes that A believes it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,mid,4245,Magda
105,1.3,CT+,CT+,CT-,JA,JA,3,Does B believe that A believes that B believes it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,mid,4245,Magda
105,1.3,CT+,CT+,CT+,JA,JA,3,Does B believe that A believes that B believes it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,mid,4245,Magda
105,1.3,CT+,CT+,PS,JA,JA,3,Does B believe that A believes that B believes it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,mid,4245,Magda
210,1.3,CT+,CT+,CT-,JA,JA,1,Does A believe it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,end,4245,Magda
210,1.3,CT+,CT+,CT+,JA,JA,1,Does A believe it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
210,1.3,CT+,CT+,PS,JA,JA,1,Does A believe it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
210,1.3,CT+,CT+,CT-,JA,JA,1,Does B believe it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,end,4245,Magda
210,1.3,CT+,CT+,CT+,JA,JA,1,Does B believe it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
210,1.3,CT+,CT+,PS,JA,JA,1,Does B believe it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
210,1.3,CT+,CT+,CT-,JA,JA,2,Does A believe that B believes it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,end,4245,Magda
210,1.3,CT+,CT+,CT+,JA,JA,2,Does A believe that B believes it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
210,1.3,CT+,CT+,PS,JA,JA,2,Does A believe that B believes it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
210,1.3,CT+,CT+,CT-,JA,JA,2,Does B believe that A believes it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,end,4245,Magda
210,1.3,CT+,CT+,CT+,JA,JA,2,Does B believe that A believes it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
210,1.3,CT+,CT+,PS,JA,JA,2,Does B believe that A believes it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
210,1.3,CT+,CT+,CT-,JA,JA,3,Does A believe that B believes that A believes it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,end,4245,Magda
210,1.3,CT+,CT+,CT+,JA,JA,3,Does A believe that B believes that A believes it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
210,1.3,CT+,CT+,PS,JA,JA,3,Does A believe that B believes that A believes it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
210,1.3,CT+,CT+,CT-,JA,JA,3,Does B believe that A believes that B believes it is certainly not true that The company is trying to solicit more throughout the globe instead of just Japan?,No,end,4245,Magda
210,1.3,CT+,CT+,CT+,JA,JA,3,Does B believe that A believes that B believes it is certainly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
210,1.3,CT+,CT+,PS,JA,JA,3,Does B believe that A believes that B believes it is possibly true that The company is trying to solicit more throughout the globe instead of just Japan?,Yes,end,4245,Magda
1,3.0,NB,NB,CT-,NA,NA,1,Does A believe it is certainly not true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,CT+,NA,NA,1,Does A believe it is certainly true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,PS,NA,NA,1,Does A believe it is possibly true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,CT-,NA,NA,1,Does B believe it is certainly not true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,CT+,NA,NA,1,Does B believe it is certainly true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,PS,NA,NA,1,Does B believe it is possibly true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,CT-,NA,NA,2,Does A believe that B believes it is certainly not true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,CT+,NA,NA,2,Does A believe that B believes it is certainly true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,PS,NA,NA,2,Does A believe that B believes it is possibly true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,CT-,NA,NA,2,Does B believe that A believes it is certainly not true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,CT+,NA,NA,2,Does B believe that A believes it is certainly true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,PS,NA,NA,2,Does B believe that A believes it is possibly true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,CT-,NA,NA,3,Does A believe that B believes that A believes it is certainly not true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,CT+,NA,NA,3,Does A believe that B believes that A believes it is certainly true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,PS,NA,NA,3,Does A believe that B believes that A believes it is possibly true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,CT-,NA,NA,3,Does B believe that A believes that B believes it is certainly not true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,CT+,NA,NA,3,Does B believe that A believes that B believes it is certainly true that The company have had most interest in Japan?,No,end,4245,Magda
1,3.0,NB,NB,PS,NA,NA,3,Does B believe that A believes that B believes it is possibly true that The company have had most interest in Japan?,No,end,4245,Magda
2,3.0,NB,NB,CT-,NA,NA,1,Does A believe it is certainly not true that The company have had most interest in Japan?,No,mid,4245,Magda
2,3.0,NB,NB,CT+,NA,NA,1,Does A believe it is certainly true that The company have had most interest in Japan?,No,mid,4245,Magda
2,3.0,NB,NB,PS,NA,NA,1,Does A believe it is possibly true that The company have had most interest in Japan?,No,mid,4245,Magda
2,3.0,NB,NB,CT-,NA,NA,1,Does B believe it is certainly not true that The company have had most interest in Japan?,No,mid,4245,Magda
2,3.0,NB,NB,CT+,NA,NA,1,Does B believe it is certainly true that The company have had most interest in Japan?,No,mid,4245,Magda
