CID,Annotator,Sentence,Sno.
4245,Magda,"A: I go well there’s this thing. I said look at this and it sa-, and it you know is all in code.",110
4245,Magda,B: uh-huh.,111
4245,Magda,A: And he goes ooh weird. He goes I didn’t do that. {laugh},112
4245,Magda,B: {laugh} That’s really funny.,113
4245,Magda,A: yeah.,114
4245,Magda,B: Small world %huh?,115
4245,Magda,A: You’re,116
4245,Magda,A: yeah. And now are you not smoking?,117
4245,Magda,B: No. I am smoking.,118
4245,Magda,A: yeah. Well I did a few when I’ve been back too.,119
4245,Magda,B: yeah. I’ve been smoking big time. It’s been a rough couple months.,120
4245,Magda,A: yeah?,121
4245,Magda,B: Well yeah it’s been [distortion] really [/distortion] busy.,122
4245,Magda,A: The kid sister thing?,123
4245,Magda,B: %huh?,124
4245,Magda,A: The kid sister thing?,125
4245,Magda,B: Well no. Not really that but it’s been really busy as far as work is concerned.,126
4245,Magda,A: Sure. yeah.,127
4245,Magda,B: You know? Now things are just like kind of mellow and I’m just n- you know wrapping things up so it’s not that bad.,128
4245,Magda,A: Sure.,129
4245,Magda,A: mhm.,130
4245,Magda,B: But it was kind of hellish for a bit.,131
4245,Magda,A: yeah. oh I’m sure.,132
4245,Magda,"B: I still, all I want to do is sleep now. I’ve been trying to nap for the longest time today.",133
4245,Magda,A: {laugh},134
4245,Magda,B: Every time I lay down a phone rings and like random people call me.,135
4245,Magda,B: You’re not that random but it’s kind of random receiving a phone call from you. {laugh},136
4245,Magda,A: **Eee**. {laugh},137
4245,Magda,B: I mean you’re not a random person but,138
4245,Magda,"A: Well thank you.  I appreciate being considered non, %er non random.",139
4245,Magda,B: No. You’re pretty organized and orderly {laugh}.,140
4245,Magda,A: Thank you. {laugh},141
4245,Magda,B: ((you’re random)),142
4245,Magda,B: {breath} No problem. {inhale},143
4245,Magda,B: &Jody’s going to be shocked that I heard from you.,144
4245,Magda,A: She what?,145
4245,Magda,B: She’s going to be happy [distortion] that I heard [/distortion],146
4245,Magda,A: oh yeah.,147
4245,Magda,B: Did you get her postcard?,148
4245,Magda,A: I haven’t heard,149
4245,Magda,A: %hm from her?,150
4245,Magda,B: yeah.,151
4245,Magda,A: No %huh I haven’t heard from her at all.,152
4245,Magda,B: She sent you a postcard. In fact we both sent you postcards.,153
4245,Magda,A: %ah.,154
4245,Magda,A: All right. [[drawn out]],155
4245,Magda,B: yeah. {breath} You know what?,156
4245,Magda,A: What?,157
4245,Magda,B: I just came back from the &U &S and I have some letters for you including that little package. I don’t know what to do with that little package.,158
4245,Magda,A: {laugh},159
4245,Magda,"B: I it, it is henna.",160
4245,Magda,A: uh-huh.,161
4245,Magda,B: And %um I don’t know,162
4245,Magda,"A: Well I think, no you know what I think you should do.",163
4245,Magda,B: (( )) [distortion],164
4245,Magda,A: &Dorota please. Really.,165
4245,Magda,B: %uh. [distorted],166
4245,Magda,"A: The package of henna, share it with &Magda.",167
4245,Magda,B: {laugh} &Magda is gone so maybe I’ll do it in my hair.,168
4245,Magda,A: okay. {laugh} It’s a nice brown.,169
4245,Magda,"B: oh is it? Good, good.",170
4245,Magda,A: yeah. Well a friend of mine from &Florida sent that to me.,171
4245,Magda,B: %eh yeah. She’s from &Gainesville (( )),172
4245,Magda,A: &Gainesville &Florida. mhm. [channel noise],173
4245,Magda,B: <? (( ))> {laugh},174
4245,Magda,A: yeah <? (( ))>,175
4245,Magda,B: (( )),176
4245,Magda,A: And,177
4245,Magda,A: yeah so {breath} I I would like to think that it goes to a good because sending it back to me would probably just be ludicrous so {breath} you know why don’t you just,178
4245,Magda,B: [distortion] So I can keep it. [/distortion],179
4245,Magda,B: I’m opening it up right now as you speak so I can put a ((world peace)) stamp on it.,180
4245,Magda,A: uh-huh.,181
4245,Magda,A: All right.,182
4245,Magda,B: All right. {laugh},183
4245,Magda,A: {laugh},184
4245,Magda,B: You know what? I’ve been saying all right all the time now.,185
4245,Magda,B: I went to this conference in the &U &S and they’re like w- w- where did you get that I’m like,186
4245,Magda,A: Great.,187
4245,Magda,A: (( )),188
4245,Magda,B: I’m like %uh that’s a really long story. [[laughing during last word]],189
4245,Magda,A: {laugh},190
4245,Magda,B: See there was this volunteer and she used to know this old man because she used to work (( )) [distortion] and this man would just sit there and say all right.  {laugh},191
4245,Magda,A: {laugh},192
4245,Magda,A: I have another one though too and &Tom was really getting sick of it. What was it?,193
4245,Magda,B: (( )).,194
4245,Magda,"A: I’ll have to think of it. It’s an-, it’s another one of those %uh all right",195
4245,Magda,B: **Yuh** [distorted and channel echo],196
4245,Magda,"A: because he g-, he says what does that mean when I say it now. It’s like",197
4245,Magda,"A: %uh I, I need to know more information.",198
4245,Magda,B: {laugh},199
4245,Magda,A: Just hearing all right isn’t enough okay?,200
4245,Magda,A: {laugh},201
4245,Magda,B: aw all right.,202
4245,Magda,B: It’s like catchy man.,203
4245,Magda,A: It is. And you know,204
4245,Magda,B: I can’t stop myself from saying it yet [distortion].,205
4245,Magda,A: yeah. So %um but anyway I want to come visit you.,206
4245,Magda,B: When?,207
4245,Magda,A: Next summer.,208
4245,Magda,B: oh I’d love to {breath} except {breath} you have,209
4245,Magda,A: You’re going to be gone. What?,210
4248,Magda,B: yeah so yeah I’ve been there like {laugh} five or six times,1
4248,Magda,A: Wow.,2
4248,Magda,"B: because I drove across the country three times. I’ve been there wait, yes three times I think.",3
4248,Magda,A: Well this is our second time.,4
4248,Magda,B: yeah.,5
4248,Magda,A: The first time we had been it was like twelve years ago &Kevin and I went on like a six week camping trip you know we hit --,6
4248,Magda,B: %uh that must have been fun.,7
4248,Magda,"A: -- You know &Washington, we hit you know from &Idaho to &Washington we hit all kinds of national parks and stu- [distortion].",8
4248,Magda,B: uh-huh.,9
4248,Magda,B: oh yeah it’s so beautiful %huh.,10
4248,Magda,A: And you know,11
4248,Magda,A: You know we spent a l- you know couple days in &Yellowstone and then,12
4248,Magda,A: you know a very little time in &Grand &Tetons but we spent a lot of time in the national forests right around there because we (( )) [distorted] you know we were really camping and really serious--,13
4248,Magda,B: uh-huh.,14
4248,Magda,B: mhm.,15
4248,Magda,"A: And like we went into &Jackson, the town and we were like --",16
4248,Magda,A: -- %ah [[drawn out and in fright]] let me {laugh} out of here. You know it was like a traffic jam and all these stores and we sort of didn’t know what was coming. We were like oh my god traffic jams,17
4248,Magda,B: {laugh},18
4248,Magda,B: uh-huh.,19
4248,Magda,A: What kind of tourist hell is this? Get us out of here [[says laughing]].,20
4248,Magda,B: {laugh},21
4248,Magda,A: of course then we were like you know let’s stay here a couple days. [distortion],22
4248,Magda,B: {inhale} And now you guys have a five year old and,23
4248,Magda,B: {laugh} yeah.,24
4248,Magda,A: This is kind of cute. oh look there’s the &Benneton outlet.,25
4248,Magda,B: {sh},26
4248,Magda,"B: oh you guys have really turned into yuppies, %huh? {laugh}",27
4248,Magda,A: Scary.,28
4248,Magda,B: {laugh} {inhale} What we shouldn’t have a house in the suburbs.,29
4248,Magda,"A: Well if I’m unemployed, if I’m unemployed I can’t be a {laugh} yuppie can I?",30
4248,Magda,B: {breath},31
4248,Magda,A: {inhale} Don’t I need to be professional?,32
4248,Magda,B: %um. yeah I guess.,33
4248,Magda,B: Well &Norm and I are worse because we live in the suburbs.,34
4248,Magda,B: %uh so.,35
4248,Magda,A: Well really silly we’ll save that for our self respects. So are you coming or not? Are you coming or not? Are you coming or not? [[drawn-out whining]],36
4248,Magda,B: I don’t know. It’s up to my husband. Hopefully he’ll finish soon and %uh --,37
4248,Magda,B: -- and %um,38
4248,Magda,A: I thought you said he was finished.,39
4248,Magda,B: You know I mean,40
4248,Magda,B: yeah he is finished.,41
4248,Magda,A: I thought you said he did send it today.,42
4248,Magda,B: He is finished. He just has to defend.,43
4248,Magda,B: So I don’t know. We’ll see what happens. I’ll talk to him today. He has a job so.  If not when are you guys moving?,44
4248,Magda,A: We’re not moving for a year.,45
4248,Magda,B: oh okay. Good.,46
4248,Magda,B: {breath},47
4248,Magda,A: We won’t move till,48
4248,Magda,B: okay.,49
4248,Magda,A: %mm [[drawn out]],50
4248,Magda,A: probably June.,51
4248,Magda,B: okay.,52
4248,Magda,A: Maybe early June.,53
4248,Magda,B: Because if I don’t come when &Norm does his defense,54
4248,Magda,"A: uh-huh, uh-huh.",55
4248,Magda,B: which I really want to come for that but you know I have,56
4248,Magda,B: I might not be able to for other reasons {inhale}.,57
4248,Magda,A: uh-huh.,58
4248,Magda,B: But if I can’t come then then I’m going to stop in January. Well I’ll probably stop in January anyhow.,59
4248,Magda,A: Excellent,60
4248,Magda,B: {inhale} Because I’m going to %uh (( )) in January with the baby to %uh --,61
4248,Magda,B: -- see the %uh --,62
4248,Magda,B: -- the it’ll come out to see the relatives.,63
4248,Magda,A: Show off <French ((le bebe))>.,64
4248,Magda,B: yeah. Show off <French ((le bebe))>.,65
4248,Magda,A: Excellent,66
4248,Magda,"B: Do you think ei- I mean eight weeks is not really well it’ll, it’ll be older than eight weeks it’ll be like ten weeks by then. That’s not too early to travel is it?",67
4248,Magda,A: Nope.,68
4248,Magda,B: I thought it would be like much easier to travel if we went when he was ten weeks than --,69
4248,Magda,"A: yep, yep, yep.",70
4248,Magda,B: -- you know after that.,71
4248,Magda,A: when they’re new infants it’s like bring along a blanket so you can nurse them. And like you could do anything. You could probably go like do skydiving or something.,72
4248,Magda,B: yeah. I know.,73
4248,Magda,A: And if you were nursing the baby while you were skydiving the baby would be like okay.,74
4248,Magda,B: yeah.,75
4248,Magda,A: Alright. As long as we’re nursing while we’re doing this that’s okay.,76
4248,Magda,B: That’s what I thought too.,77
4248,Magda,B: {inhale} And they don’t need that many clothes when they’re that young. And they don’t need toys.,78
4248,Magda,B: So.,79
4248,Magda,B: You know basically you don’t need to bring anything.,80
4248,Magda,B: {lipsmack} But %uh but you know your two boobs. {laugh} and %uh {sniff},81
4248,Magda,A: {laugh},82
4248,Magda,B: And since I can’t really go anywhere without those anyhow {laugh},83
4248,Magda,A: They’re hard to forget,84
4248,Magda,B: {laugh} yeah.,85
4248,Magda,A: Hard to leave behind.,86
4248,Magda,"B: yeah. So I mean in then you know then we can just use disposables if we’re travelling, so",87
4248,Magda,A: oh definitely.,88
4248,Magda,A: Don’t we did one time we were like we were travelling in the car we were like oh we can just bring a little mini diaper pail and all.,89
4248,Magda,B: yeah.,90
4248,Magda,A: That was after one time I went never again.,91
4248,Magda,B: {laugh},92
4248,Magda,A: Disposables for travelling.,93
4248,Magda,B: And did you %um,94
4248,Magda,A: ((Absolutely)) [distortion].,95
4248,Magda,"B: Every now did you supplement nursing with bottles at all or didn’t, didn’t you?",96
4248,Magda,A: No. No. Somehow like I read too many of the (( )) books so I thought it was like no formula.,97
4248,Magda,A: It does make a difference like I always thought formula smells kind of disgusting {inhale},98
4248,Magda,B: oh yeah.,99
4248,Magda,A: Like when they throw up it smells disgusting and when they make their little doo-doo’s it smells grosser if they’re on formula. But if they’re totally breast milk now you’ll find this hard this believe but if they’re totally breast milk for like the first couple months --,100
4248,Magda,B: mhm.,101
4248,Magda,A: they don’t their number twos don’t smell at all.,102
4248,Magda,B: oh okay.,103
4248,Magda,A: They don’t smell like anything. It’s like {sniffing},104
4248,Magda,A: it looks like shit but it doesn’t smell like anything {laugh}.,105
4248,Magda,B: oh okay.,106
4248,Magda,B: {inhale}And did you pump or not?,107
4248,Magda,A: yeah I pumped. What joy that was.,108
4248,Magda,B: Did you use a manual or a %uh did you get one of those little battery ones?,109
4248,Magda,A: Batter-,110
4248,Magda,A: Battery operated deal.,111
4248,Magda,B: yeah. I think so too.,112
4248,Magda,A: Now like I can tell you I can find the exact brand name of it if you want some time.,113
4248,Magda,B: {breath},114
4248,Magda,A: But like it had like this little like nozzle attachment thing on it which was what it said you were supposed to use.,115
4248,Magda,B: mhm.,116
4248,Magda,B: mhm.,117
4248,Magda,A: And I used it the first time for like three seconds I was like --,118
4248,Magda,A: -- %ah [[drawn out as if in agony]] get {laugh} this thing off me.,119
4248,Magda,B: {laugh},120
4248,Magda,A: That really hurt.,121
4248,Magda,B: {laugh},122
4248,Magda,A: {inhale} Don’t ever do that again.,123
4248,Magda,A: And I forget what it said it was for I think it said it was for if you had small breasts or something. I don’t know what,124
4248,Magda,B: oh okay.,125
4248,Magda,A: so like I took that thing and I threw it away. {laugh},126
4248,Magda,B: {laugh},127
4248,Magda,A: {inhale} It was like a little part you put on top of a nozzle thing. It was just like an extra attachment and I took that and I --,128
4248,Magda,B: ((mhm)) okay [distorted].,129
4248,Magda,A: -- threw it away,130
4248,Magda,B: okay.,131
4248,Magda,A: And then it was fine.,132
4248,Magda,B: okay.,133
4248,Magda,A: So.,134
4248,Magda,B: yeah.,135
4248,Magda,A: That seemed to work fine {inhale},136
4248,Magda,B: ye-,137
4248,Magda,"A: You know i- if I, if you could avoid it",138
4248,Magda,A: you know,139
4248,Magda,A: if y- if it was a choice in your life to say {inhale},140
4248,Magda,A: well for the first couple months I’ll just be home and I’ll just get a lot of rest and I’ll take it easy and if I’m not --,141
4248,Magda,A: -- sleeping at night I’ll just sleep during the day or sleep when the baby sleeps.,142
4248,Magda,B: yeah.,143
4248,Magda,A: Not do this whole pumping thing I mean if I had to do it all over that’s what I would do.,144
4248,Magda,B: oh yeah because I was thinking it would be easier because then other people could feed the baby and you wouldn’t have to be so tied to it.,145
4248,Magda,A: (( )),146
4248,Magda,A: yeah. And if you want to go out to a movie or something.,147
4248,Magda,A: Mean that you know ((did you)),148
4248,Magda,B: Well we never go out. [[says laughing]] I mean you know what &Norm and I are like I mean.,149
4248,Magda,"A: Well believe me when you have a baby you’ll want, you’ll to put it in someone else’s house or someone come watch it in your house and go anywhere else. {laugh}",150
4248,Magda,B: See that’s what I was thinking like for my in laws and stuff when we go home for &Christmas.,151
4248,Magda,A: mhm.,152
4248,Magda,B: It would be so nice to just you know leave the baby with them but you can’t leave the baby.,153
4248,Magda,"A: yeah. I mean if you,",154
4248,Magda,A: you know y- you might have to try one or two before you find one that works but,155
4248,Magda,B: yeah.,156
4248,Magda,A: once and you know they have like things and like can set the tension or whatever they get,157
4248,Magda,A: suck suck power.,158
4248,Magda,B: {laugh} the tension {laugh} ((they’re)) like the little knob on your sewing machine.  [[said laughing]] {laugh},159
4248,Magda,"A: {laugh} You can set the, the power level and stuff and and it g-",160
4248,Magda,B: {inhale} {laugh} {inhale} Or like extra suck for just ((starting to)) suck. [[said laughing]],161
4248,Magda,A: You know e- it’s like you,162
4248,Magda,A: once you get used it i- you know at first you feel like what am I doing putting this machine on me it’s disgusting,163
4248,Magda,B: {laugh},164
4248,Magda,A: or obscene or something.,165
4248,Magda,A: But once you get used to it it was %uh you know you can like read while you’re doing it. It was like boring.,166
4248,Magda,B: uh-huh.,167
4248,Magda,B: okay.,168
4248,Magda,B: And what does it go into like a little plastic bag **thingy**?,169
4248,Magda,A: %uh well the thing I had was like --,170
4248,Magda,A: -- like you screwed on this whole motor suction part --,171
4248,Magda,B: uh-huh.,172
4248,Magda,"A: -- on to something that was just like a, a jar bottom.",173
4248,Magda,A: You know just looked like a screw thing so that it went to this plastic container.,174
4248,Magda,B: {breath},175
4248,Magda,B: okay. And you can reuse the plastic container?,176
4248,Magda,A: And then what I would do is just %uh I would bring little bags like that you’re supposed to put formula in with me to work.,177
4248,Magda,B: oh okay.,178
4248,Magda,A: And then I’d pour it from the container,179
4248,Magda,A: into the plastic bag and seal it up and then go you know rinse out the container thing and wash it the next day.,180
4248,Magda,B: And did you throw away the plastic bags when you were done?,181
4248,Magda,A: Well see then the plastic bag is designed to go inside a bottle thing.,182
4248,Magda,B: yeah. And th- %eh so then you so you throw the plastic bag away when you’re done.,183
4248,Magda,A: After your baby drinks the milk yeah.,184
4248,Magda,B: yeah okay,185
4248,Magda,B: {lipsmack} okay. I’m just trying to you know,186
4248,Magda,B: we have a f- %um %uh %uh,187
4248,Magda,A: And that way you can freeze them so you know we’d end up,188
4248,Magda,B: yeah.,189
4248,Magda,"A: there was sort of like a, a go or no go for breast pumping like once you just kind of got everything going it was like it ended up I was pumping too much you know it was like",190
4248,Magda,B: %mm okay.,191
4248,Magda,A: we ended up with a freezer full like we found a year later a freezer full of breast milk. [[said laughing]],192
4248,Magda,B: {laugh} God.,193
4248,Magda,A: oh let’s just throw this all away.,194
4248,Magda,B: {laugh},195
4248,Magda,A: It’s like all that hard work but it was either you know it was either explode or {breath} you know pretty much,196
4248,Magda,"B: But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.",197
4248,Magda,A: I don’t know. All I can tell you is to get a big bag (( )) [[says laughing]].,198
4248,Magda,B: {laugh} okay [[says laughing]],199
4248,Magda,A: {inhale} It’s like once I started at at work I you know,200
4248,Magda,"A: once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.",201
4248,Magda,A: And she just couldn’t quite drink that much so {lipsmack},202
4248,Magda,B: %mm okay.,203
4248,Magda,A: You know that was why I was working in the morning the morning’s when you do the most. {breath} Everybody’s different so it probably,204
4248,Magda,B: yeah yeah that’s true. {inhale} Well I only have fourteen weeks left so.,205
4248,Magda,A: Wow you’re getting there. [[drawn out]],206
4248,Magda,B: I know {breath} I know.,207
4248,Magda,A: Stopping with the miscarriage anxiety starting with the delivery anxiety.  [[said laughing]],208
4248,Magda,B: {laugh} I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,209
4248,Magda,A: ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,210
4248,Magda,B: oh my god.,211
4248,Magda,B: you know [distorted],212
4248,Magda,B: yeah,213
4248,Magda,B: Well I’ve heard the cord accident stories,214
4248,Magda,B: which had me like totally and completely freaked out.,215
4248,Magda,B: a- are you still there?,216
4248,Magda,A: yeah ((I’m still here)) [distortion],217
4248,Magda,B: oh so I had so I talked to my doctor about it and apparently it’s very rare [[said laughing]] so don’t ask me why I’ve heard so many stories about it but {sniff},218
4248,Magda,B: oh yeah and then there was this friend I had she was eight and a half months pregnant and you know {breath} baby had a cord accident and she died. [[said laughing]],219
4248,Magda,A: Like most people they just have babies it all works out.,220
4248,Magda,B: yeah. I know. I know so I’m not so freaked out anymore.,221
4248,Magda,A: Good.,222
4248,Magda,B: {lipsmack} That was like I was talking to &Erica on the phone and %uh,223
4248,Magda,B: that’s what she told me she’s like but d- to say that it was okay she was like saying that well you know but this woman is pregnant again and you know will have her baby again soon so it was like no big deal.,224
4248,Magda,A: No yeah.,225
4248,Magda,"B: But having never been pregnant before, you know I’m sure &Erica has like no idea this woman must be on just you know absolute.",226
4248,Magda,B: pins and needles.  She must be having the most miserable pregnancy in the whole world.,227
4248,Magda,"A: yeah that’s such a public thing.  Like everyone knew she was pregnant.  I mean once you’re eight and half months, man, I mean there was nothing nice about it (( ))",228
4248,Magda,B: I know.,229
4248,Magda,"A: you know if you’ve made it through the eight and a half months, man, you deserve it a baby.",230
4248,Magda,B: I bet [distorted],231
4248,Magda,B: I know and then you know and then to have to go back to work,232
4248,Magda,"B: and {inhale} you know and then the second pregnancy must be just like fraught with anxiety and especially since it happened at eight and a half months, you know.",233
4248,Magda,A: yeah and everybody is probably saying now you better really drink milk this time.  You better eat your cottage cheese now.,234
4248,Magda,B: {laugh} I Know.,235
4248,Magda,B: I know I know yeah.  I actually did start drinking more milk and it has helped with all my little aches and pains and stuff.,236
4310,Magda,B: So tell me a little bit about the day she was born. When did you first see her?,1
4310,Magda,"A: %um what happened is we went to the hospital, she was induced.",2
4310,Magda,B: mhm.,3
4310,Magda,"A: So we get a phone call and th-, she was supposed to",4
4310,Magda,B: Right finally.,5
4310,Magda,"A: %um the birth mom was supposed to go in at %um, it’s my thinking that this will be distributed publicly.",6
4310,Magda,B: Right.,7
4310,Magda,A: at %um six thirty in the morning but she called and they didn’t have any beds.,8
4310,Magda,B: oh no.,9
4310,Magda,"A: So she called us and told us that, but then they did get a bed and she went in at eight.",10
4310,Magda,B: mhm.,11
4310,Magda,"A: Or seven thirty or, I guess she went in at seven thirty and they started her at eight or so so we hopped in the car and drove down to be there",12
4310,Magda,B: mhm.,13
4310,Magda,B: %mm mhm.,14
4310,Magda,A: for the day.,15
4310,Magda,B: mhm.,16
4310,Magda,"A: And %um,",17
4310,Magda,A: we hung out all day.  We had %uh we had some difficult times with the lawyer down there.  He was supposed to show up,18
4310,Magda,B: %mm,19
4310,Magda,B: mhm.,20
4310,Magda,A: and we waited all day and he never bloody showed up.,21
4310,Magda,B: oh no.,22
4310,Magda,"A: And %um, he and also she was expecting him too.",23
4310,Magda,B: mhm.,24
4310,Magda,A: You know and so that was frustrating.,25
4310,Magda,B: yeah.,26
4310,Magda,A: But anyway we waited all day and %um,27
4310,Magda,A: But then five twenty five &Mae was born.,28
4310,Magda,B: Right.,29
4310,Magda,A: And the birth mother’s mother was with her through the whole thing and she was fantastic.  She was just great.  She was so nice to us and so solid there for her daughter and just a wonderful,30
4310,Magda,B: uh-huh.,31
4310,Magda,B: mhm.,32
4310,Magda,B: Woman (( )),33
4310,Magda,A: person and %um,34
4310,Magda,"A: She was great.  She came out, you know, a couple times during the day she came out and gave us little progress reports of how things were going and actually it was very funny",35
4310,Magda,B: uh-huh.,36
4310,Magda,"A: because the first time she out {laugh}, I mean here we’re out there sort of ringing our hands and",37
4310,Magda,B: uh-huh.,38
4310,Magda,"A: sweating it out and wondering how everybody is going and everything and she came out and could I go downstairs because %um, her daughter wanted playing cards.",39
4310,Magda,B: uh-huh.,40
4310,Magda,A: So I guess she was bored.,41
4310,Magda,B: uh-huh.,42
4310,Magda,A: You know passing the time {laugh},43
4310,Magda,B: {laugh},44
4310,Magda,A: So I went downstairs to get playing cards with her and,45
4310,Magda,B: uh-huh.,46
4310,Magda,A: and then later on she came out and she wanted some chewing gum. {laugh},47
4310,Magda,B: uh-huh {laugh}.,48
4310,Magda,"A: %um, I guess your mouth gets dry and you just want something.",49
4310,Magda,B: yeah. I’m sure.,50
4310,Magda,"A: So, you know, it was, it was kind of funny these very",51
