CID,Annotator,Sentence,Sno.,Preprocessed,Eno.,Source,Target,Belief,Event
4245,Magda,"A: I taught, okay. I taught",16,"I taught, okay. I taught",16.1,A,taught,true,"I taught, okay."
4245,Magda,A: I taught business English.,17,I taught business English.,17.1,A,taught,true,I taught business English.
4245,Magda,B: uh-huh.,18,uh-huh.,18.1,B,uh,true,uh-huh.
4245,Magda,A: I taught listening. I taught integrated skills and g- beginning grammar.,19,I taught listening. I taught integrated skills and beginning grammar.,19.1,A,taught,true,I taught listening.
4245,Magda,A: I taught listening. I taught integrated skills and g- beginning grammar.,19,I taught listening. I taught integrated skills and beginning grammar.,19.2,A,taught,true,I taught integrated skills
4245,Magda,A: I taught listening. I taught integrated skills and g- beginning grammar.,19,I taught listening. I taught integrated skills and beginning grammar.,19.3,A,listening,true,listening
4245,Magda,B: okay.,20,okay.,20.1,B,okay,true,okay.
4245,Magda,B: mhm. I’m just writing this down so I,21,mhm. I’m just writing this down so I,21.1,B,writing,true,I’m just writing this down
4245,Magda,A: Cool.,22,Cool.,22.1,A,Cool,true,Cool.
4245,Magda,A: You don’t have to tell them about (( )) or anything. {breath} oh weird.,23,You don’t have to tell them about or anything. oh weird.,23.1,A,tell,unknown,to tell them about
4245,Magda,B: {laugh},24,, , , , , 
4245,Magda,A: You know what?,25,You know what?,25.1,A,You,true,You
4245,Magda,B: What?,26,What?, , , , , 
4245,Magda,"A: I had a dream this morning about,",27,"I had a dream this morning about,",27.1,A,dream,true,a dream
4245,Magda,A: it’s weird. I don’t know if you were in it. I think you were.,28,it’s weird. I don’t know if you were in it. I think you were.,28.1,A,think,true,I think you were.
4245,Magda,A: it’s weird. I don’t know if you were in it. I think you were.,28,it’s weird. I don’t know if you were in it. I think you were.,28.2,A,were,unknown,if you were in it
4245,Magda,A: it’s weird. I don’t know if you were in it. I think you were.,28,it’s weird. I don’t know if you were in it. I think you were.,28.3,A,were,ptrue,you were
4245,Magda,B: %huh.,29,huh.,29.1,B,huh,true,huh.
4245,Magda,A: But &Barry was definitely in it.,30,But Barry was definitely in it.,30.1,A,in,true,But Barry was definitely in it.
4245,Magda,B: yeah.,31,yeah.,31.1,B,yeah,true,yeah.
4245,Magda,A: And &Barry and I,32,And Barry and I,32.1,A,Barry,true,And Barry
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,33.1,A,trying,true,We were trying to get somewhere
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,33.2,A,get,unknown,to get somewhere
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,33.3,A,get,true,when we got in the water
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,33.4,A,jump,unknown,to jump in this water
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,33.5,A,let,unknown,but she wouldn’t let go of me when we got in the water
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,33.6,A,woke,true,and I woke up because I start drowning.
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,33.7,A,start,true,because I start drowning
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,33.8,A,drowning,true,drowning
4245,Magda,B: {laugh},34,, , , , , 
4245,Magda,A: {breath} I don’t know what that means. I got a postcard from her too the other day,35,I don’t know what that means. I got a postcard from her too the other day,35.1,A,know,false,I don’t know what that means.
4245,Magda,A: {breath} I don’t know what that means. I got a postcard from her too the other day,35,I don’t know what that means. I got a postcard from her too the other day,35.2,A,got,true,I got a postcard from her too the other day
4245,Magda,A: {breath} I don’t know what that means. I got a postcard from her too the other day,35,I don’t know what that means. I got a postcard from her too the other day,35.3,A,means,unknown,what that means
4245,Magda,B: ((That’s a)) [distorted],36,That’s a,36.1,B,That,true,That
4245,Magda,B: yeah. That’s a scary dream.,37,yeah. That’s a scary dream.,37.1,B,dream,true,a scary dream
4245,Magda,A: It was pretty scary.,38,It was pretty scary.,38.1,A,scary,true,It was pretty scary.
4245,Magda,B: yeah.,39,yeah.,39.1,B,yeah,true,yeah.
4245,Magda,A: [channel noise] I don’t know it was kind of one of those frustrating type dreams.,40,I don’t know it was kind of one of those frustrating type dreams.,40.1,A,know,false,I don’t know it was kind of one of those frustrating type dreams.
4245,Magda,A: [channel noise] I don’t know it was kind of one of those frustrating type dreams.,40,I don’t know it was kind of one of those frustrating type dreams.,40.2,A,dreams,unknown,those frustrating type dreams
4245,Magda,"B: %eh w- listen. Was it difficult coming back, going back to the &U &S?",41,"listen. Was it difficult coming back, going back to the U S?",41.1,B,coming,true,"coming back,"
4245,Magda,"B: %eh w- listen. Was it difficult coming back, going back to the &U &S?",41,"listen. Was it difficult coming back, going back to the U S?",41.2,B,going,true,going back to the U S
4245,Magda,A: yeah.,42,yeah.,42.1,A,yeah,true,yeah.
4245,Magda,B: yeah.,43,yeah.,43.1,B,yeah,true,yeah.
4245,Magda,A: It was harder than I thought it would be actually.,44,It was harder than I thought it would be actually.,44.1,A,thought,true,than I thought it would be actually
4245,Magda,A: It was harder than I thought it would be actually.,44,It was harder than I thought it would be actually.,44.2,A,be,unknown,It was harder than I thought it would be actually.
4245,Magda,A: It was harder than I thought it would be actually.,44,It was harder than I thought it would be actually.,44.3,A,be,true,it would be actually
4245,Magda,B: yeah.,45,yeah.,45.1,B,yeah,true,yeah.
4245,Magda,A: %um harder in the sense that %uh,46,harder in the sense that,46.1,A,harder,true,harder in the sense that
4245,Magda,A: {lipsmack} {breath},47,, , , , , 
4245,Magda,A: I wasn’t used to the pace,48,I wasn’t used to the pace,48.1,A,used,false,I wasn’t used to the pace
4245,Magda,A: it’s,49,it’s,49.1,A,it,true,it
4245,Magda,B: mhm.,50,mhm.,50.1,B,mhm,true,mhm.
4245,Magda,A: you know the pace is totally different.,51,you know the pace is totally different.,51.1,A,know,true,you know
4245,Magda,A: you know the pace is totally different.,51,you know the pace is totally different.,51.2,A,pace,true,the pace
4245,Magda,B: mhm.,52,mhm.,52.1,B,mhm,true,mhm.
4245,Magda,A: %um,53,um, , , , , 
4245,Magda,A: And,54,And, , , , , 
4245,Magda,A: I didn’t really want to see anybody for a while.,55,I didn’t really want to see anybody for a while.,55.1,A,want,false,I didn’t really want to see anybody for a while.
4245,Magda,A: I didn’t really want to see anybody for a while.,55,I didn’t really want to see anybody for a while.,55.2,A,see,unknown,to see anybody for a while
4245,Magda,"A: And I d-, and I didn’t, which was fine.",56,"And I and I didn’t, which was fine.",56.1,A,fine,true,which was fine
4245,Magda,A: And I really missed people,57,And I really missed people,57.1,A,missed,true,And I really missed people
4245,Magda,A: %um from &Poland because it was all my support system. Coming here w- the only person that really knew and understood my circumstances was &Tom.,58,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,58.1,A,support,true,support
4245,Magda,A: %um from &Poland because it was all my support system. Coming here w- the only person that really knew and understood my circumstances was &Tom.,58,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,58.2,A,Coming,true,Coming here the only person that really knew
4245,Magda,A: %um from &Poland because it was all my support system. Coming here w- the only person that really knew and understood my circumstances was &Tom.,58,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,58.3,A,knew,true,that really knew
4245,Magda,A: %um from &Poland because it was all my support system. Coming here w- the only person that really knew and understood my circumstances was &Tom.,58,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,58.4,A,understood,true,understood
4245,Magda,B: mhm.,59,mhm.,59.1,B,mhm,true,mhm.
4245,Magda,A: And so that was really tough because that was a lot of pressure on both of us ((coming coming)) with him again and all of that.,60,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,60.1,A,tough,true,And so that was really tough because that was a lot of pressure on both of us coming coming with him again
4245,Magda,A: And so that was really tough because that was a lot of pressure on both of us ((coming coming)) with him again and all of that.,60,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,60.2,A,pressure,true,pressure on both of us
4245,Magda,A: And so that was really tough because that was a lot of pressure on both of us ((coming coming)) with him again and all of that.,60,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,60.3,A,coming,true,coming coming with him again
4245,Magda,A: And so that was really tough because that was a lot of pressure on both of us ((coming coming)) with him again and all of that.,60,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,60.4,A,coming,true,coming with him again
4245,Magda,B: mhm.,61,mhm.,61.1,B,mhm,true,mhm.
4245,Magda,A: %um readjusting as far as Americanisms,62,readjusting as far as Americanisms,62.1,A,readjusting,true,readjusting as far as Americanisms
4245,Magda,B: mhm.,63,mhm.,63.1,B,mhm,true,mhm.
4245,Magda,A: %uh &Blimpie’s scared me.,64,Blimpie’s scared me.,64.1,A,scared,true,Blimpie’s scared me.
4245,Magda,A: &Blimpie’s is the sandwich place (( )) {laugh},65,Blimpie’s is the sandwich place,65.1,A,is,true,Blimpie’s is the sandwich place
4245,Magda,B: {laugh} I know. I know. {laugh} {breath} oh that’s pretty funny.,66,I know. I know. oh that’s pretty funny.,66.1,B,know,true,I know.
4245,Magda,B: {laugh} I know. I know. {laugh} {breath} oh that’s pretty funny.,66,I know. I know. oh that’s pretty funny.,66.2,B,know,true,I know.
4245,Magda,A: We went in there and it was so yellow.,67,We went in there and it was so yellow.,67.1,A,went,true,We went in there
4245,Magda,A: It was just so yellow and they wanted to help so bad.,68,It was just so yellow and they wanted to help so bad.,68.1,A,wanted,true,they wanted to help so bad.
4245,Magda,A: It was just so yellow and they wanted to help so bad.,68,It was just so yellow and they wanted to help so bad.,68.2,A,help,unknown,to help so bad
4245,Magda,B: %ah. [[groaning and drawn out]],69,., , , , , 
4245,Magda,A: And it was,70,And it was,70.1,A,was,true,And it was
4245,Magda,B: %ah,71,ah,71.1,B,ah,true,ah
4245,Magda,A: {laugh},72,, , , , , 
4245,Magda,B: {laugh},73,, , , , , 
4245,Magda,B: I just went back and I decided people are a bit too cheery in the &U &S.,74,I just went back and I decided people are a bit too cheery in the U S.,74.1,B,went,true,I just went back
4245,Magda,B: I just went back and I decided people are a bit too cheery in the &U &S.,74,I just went back and I decided people are a bit too cheery in the U S.,74.2,B,decided,true,I decided people are a bit too cheery in the U S.
4245,Magda,B: I just went back and I decided people are a bit too cheery in the &U &S.,74,I just went back and I decided people are a bit too cheery in the U S.,74.3,B,cheery,unknown,people are a bit too cheery in the U S.
4245,Magda,A: oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75,oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75.1,A,see,true,And see that wanting to help you so bad just freaked me out.
4245,Magda,A: oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75,oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75.2,A,wanting,true,wanting to help you so bad
4245,Magda,A: oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75,oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75.3,A,help,unknown,to help you so bad
4245,Magda,B: (( )) [distorted],76,, , , , , 
4245,Magda,B: oh my God.,77,oh my God.,77.1,B,oh,true,oh my God.
4245,Magda,"B: like, I, I just like ran into stores and ran out because",78,"like, I, I just like ran into stores and ran out because",78.1,B,ran,true,"like, I, I just like ran into stores"
4245,Magda,A: uh-huh.,79,uh-huh.,79.1,A,uh,true,uh-huh.
4245,Magda,B: I’d go on the weekdays when nobody you know because I’m,80,I’d go on the weekdays when nobody you know because I’m,80.1,B,go,unknown,I’d go on the weekdays when nobody you know because I’m
4245,Magda,B: I’d go on the weekdays when nobody you know because I’m,80,I’d go on the weekdays when nobody you know because I’m,80.2,B,know,unknown,when nobody you know
4245,Magda,A: Right.,81,Right.,81.1,A,Right,true,Right.
4245,Magda,B: you know I had time off and %um,82,you know I had time off and,82.1,B,you,true,you
4245,Magda,A: uh-huh.,83,uh-huh.,83.1,A,uh,true,uh-huh.
4245,Magda,B: I’d walk in there and like five people would say hello to me. I’d be just like leave me alone [[whispered]] {laugh}.,84,I’d walk in there and like five people would say hello to me. I’d be just like leave me alone,84.1,B,walk,unknown,I’d walk in there
4245,Magda,B: I’d walk in there and like five people would say hello to me. I’d be just like leave me alone [[whispered]] {laugh}.,84,I’d walk in there and like five people would say hello to me. I’d be just like leave me alone,84.2,B,say,unknown,like five people would say hello to me.
4245,Magda,B: I’d walk in there and like five people would say hello to me. I’d be just like leave me alone [[whispered]] {laugh}.,84,I’d walk in there and like five people would say hello to me. I’d be just like leave me alone,84.3,B,leave,unknown,just like leave me alone
4245,Magda,"A: i-, it’s just",85,", it’s just",85.1,A,it,true,it
4245,Magda,A: oh my God.,86,oh my God.,86.1,A,oh,true,oh my God.
4245,Magda,B: It’s just very hard. I talked to &Kristen though when I was home.,87,It’s just very hard. I talked to Kristen though when I was home.,87.1,B,talked,true,I talked to Kristen though when I was home.
4245,Magda,A: yeah?,88,yeah?,88.1,A,yeah,true,yeah?
4245,Magda,B: yeah. She seems to be doing well. She’s working,89,yeah. She seems to be doing well. She’s working,89.1,B,seems,true,She seems to be doing well.
4245,Magda,B: yeah. She seems to be doing well. She’s working,89,yeah. She seems to be doing well. She’s working,89.2,B,doing,true,to be doing well
4245,Magda,B: yeah. She seems to be doing well. She’s working,89,yeah. She seems to be doing well. She’s working,89.3,B,working,true,She’s working
4245,Magda,B: [channel noise] which is good and she’s got her %um she’s healthy again.,90,which is good and she’s got her she’s healthy again.,90.1,B,good,true,which is good
4245,Magda,B: [channel noise] which is good and she’s got her %um she’s healthy again.,90,which is good and she’s got her she’s healthy again.,90.2,B,got,true,and she’s got her
4245,Magda,B: [channel noise] which is good and she’s got her %um she’s healthy again.,90,which is good and she’s got her she’s healthy again.,90.3,B,healthy,true,she’s healthy again.
4245,Magda,A: That’s good.,91,That’s good.,91.1,A,good,true,That’s good.
4245,Magda,B: %hm yeah.,92,yeah.,92.1,B,yeah,true,yeah.
4245,Magda,A: I’d like to be healthy again.,93,I’d like to be healthy again.,93.1,A,like,true,I’d like to be healthy again.
4245,Magda,B: yeah. I hope,94,yeah. I hope,94.1,B,hope,true,I hope
4245,Magda,A: hey.,95,hey.,95.1,A,hey,true,hey.
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96.1,A,know,true,you know
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96.2,A,tell,unknown,to tell you this thing that I got
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96.3,A,got,true,that I got
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96.4,A,found,true,Tom found this for me about this freebie experiment thing where you can do this
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96.5,A,do,unknown,where you can do this
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96.6,A,talk,unknown,you can talk
4245,Magda,B: (( )) [distorted],97,, , , , , 
4245,Magda,B: uh-huh.,98,uh-huh.,98.1,B,uh,true,uh-huh.
4245,Magda,B: yeah.,99,yeah.,99.1,B,yeah,true,yeah.
4245,Magda,"A: And it was funny because he handed it to me and I was really confused and I said well,",100,"And it was funny because he handed it to me and I was really confused and I said well,",100.1,A,handed,true,because he handed it to me
4245,Magda,"A: And it was funny because he handed it to me and I was really confused and I said well,",100,"And it was funny because he handed it to me and I was really confused and I said well,",100.2,A,confused,true,I was really confused
4245,Magda,"A: And it was funny because he handed it to me and I was really confused and I said well,",100,"And it was funny because he handed it to me and I was really confused and I said well,",100.3,A,said,true,"I said well,"
4245,Magda,"A: well is this somebody that contacted you on your email or what? He goes no I told you about this last week blah, blah, blah.",101,"well is this somebody that contacted you on your email or what? He goes no I told you about this last week blah, blah, blah.",101.1,A,contacted,unknown,that contacted you on your email
4245,Magda,"A: well is this somebody that contacted you on your email or what? He goes no I told you about this last week blah, blah, blah.",101,"well is this somebody that contacted you on your email or what? He goes no I told you about this last week blah, blah, blah.",101.2,A,told,true,"no I told you about this last week blah, blah, blah."
4245,Magda,A: {breath} I’m looking at it {breath} because it had this guy and it,102,I’m looking at it because it had this guy and it,102.1,A,had,true,because it had this guy
4245,Magda,A: {breath} I’m looking at it {breath} because it had this guy and it,102,I’m looking at it because it had this guy and it,102.2,A,looking,true,I’m looking at it because it had this guy
4245,Magda,"A: and his name wa-, his name is &Mark &Zalin-, Ya-, no, &Yalinsky. {breath} And it said, and it was",103,"and his name his name is Mark no, Yalinsky. And it said, and it was",103.1,A,said,true,"And it said,"
4245,Magda,"A: and his name wa-, his name is &Mark &Zalin-, Ya-, no, &Yalinsky. {breath} And it said, and it was",103,"and his name his name is Mark no, Yalinsky. And it said, and it was",103.2,A,is,true,"and his name his name is Mark no, Yalinsky."
4245,Magda,A: and it was his email thing and it said U N I <Polish Lodz> &Poland.,104,and it was his email thing and it said U N IPolish Lodz> Poland.,104.1,A,said,true,and it said U N IPolish Lodz> Poland.
4245,Magda,B: ((You told me)).,105,You told me.,105.1,B,told,true,You told me.
4245,Magda,A: And I’m like,106,And I’m like,106.1,A,like,true,And I’m like
4245,Magda,A: And it was a &Playboy joke on this thing. It was done as an example of what we do. [[last four words spoken with a laugh]],107,And it was a Playboy joke on this thing. It was done as an example of what we do.,107.1,A,was,true,And it was a Playboy joke on this thing.
4245,Magda,A: And it was a &Playboy joke on this thing. It was done as an example of what we do. [[last four words spoken with a laugh]],107,And it was a Playboy joke on this thing. It was done as an example of what we do.,107.2,A,do,true,It was done as an example of what we do.
4245,Magda,B: {laugh},108,, , , , , 
4245,Magda,A: {breath} And it was from <Polish Lodz>. And I’m like did somebody try to get a hold of you and he goes no.,109,And it was fromPolish Lodz>. And I’m like did somebody try to get a hold of you and he goes no.,109.1,A,try,unknown,like did somebody try to get a hold of you
4245,Magda,A: {breath} And it was from <Polish Lodz>. And I’m like did somebody try to get a hold of you and he goes no.,109,And it was fromPolish Lodz>. And I’m like did somebody try to get a hold of you and he goes no.,109.2,A,get,unknown,to get a hold of you
4245,Magda,A: {breath} And it was from <Polish Lodz>. And I’m like did somebody try to get a hold of you and he goes no.,109,And it was fromPolish Lodz>. And I’m like did somebody try to get a hold of you and he goes no.,109.3,A,goes,unknown,he goes no.
4245,Magda,"A: I go well there’s this thing. I said look at this and it sa-, and it you know is all in code.",110,I go well there’s this thing. I said look at this and it and it you know is all in code.,110.1,A,go,true,I go well there’s this thing.
4245,Magda,"A: I go well there’s this thing. I said look at this and it sa-, and it you know is all in code.",110,I go well there’s this thing. I said look at this and it and it you know is all in code.,110.2,A,said,true,I said look at this
4245,Magda,"A: I go well there’s this thing. I said look at this and it sa-, and it you know is all in code.",110,I go well there’s this thing. I said look at this and it and it you know is all in code.,110.3,A,look,unknown,look at this
4245,Magda,"A: I go well there’s this thing. I said look at this and it sa-, and it you know is all in code.",110,I go well there’s this thing. I said look at this and it and it you know is all in code.,110.4,A,know,true,you know
4245,Magda,B: uh-huh.,111,uh-huh.,111.1,B,uh,true,uh-huh.
4245,Magda,A: And he goes ooh weird. He goes I didn’t do that. {laugh},112,And he goes ooh weird. He goes I didn’t do that.,112.1,A,goes,true,And he goes ooh weird.
4245,Magda,A: And he goes ooh weird. He goes I didn’t do that. {laugh},112,And he goes ooh weird. He goes I didn’t do that.,112.2,A,goes,true,He goes I didn’t do that.
4245,Magda,A: And he goes ooh weird. He goes I didn’t do that. {laugh},112,And he goes ooh weird. He goes I didn’t do that.,112.3,A,do,unknown,did
4245,Magda,B: {laugh} That’s really funny.,113,That’s really funny.,113.1,B,funny,true,That’s really funny.
4245,Magda,A: yeah.,114,yeah.,114.1,A,yeah,true,yeah.
4245,Magda,B: Small world %huh?,115,Small world,115.1,B,world,true,Small world
4245,Magda,A: You’re,116,You’re,116.1,A,’re,true,You’re
4245,Magda,A: yeah. And now are you not smoking?,117,yeah. And now are you not smoking?,117.1,A,smoking,false,And now are you not smoking?
4245,Magda,B: No. I am smoking.,118,No. I am smoking.,118.1,B,smoking,false,I am smoking.
4245,Magda,A: yeah. Well I did a few when I’ve been back too.,119,yeah. Well I did a few when I’ve been back too.,119.1,A,did,true,Well I did a few when I’ve been back too.
4245,Magda,A: yeah. Well I did a few when I’ve been back too.,119,yeah. Well I did a few when I’ve been back too.,119.2,A,been,true,when I’ve been back too
4245,Magda,B: yeah. I’ve been smoking big time. It’s been a rough couple months.,120,yeah. I’ve been smoking big time. It’s been a rough couple months.,120.1,B,smoking,true,I’ve been smoking big time.
4245,Magda,B: yeah. I’ve been smoking big time. It’s been a rough couple months.,120,yeah. I’ve been smoking big time. It’s been a rough couple months.,120.2,B,been,true,been
4245,Magda,A: yeah?,121,yeah?,121.1,A,yeah,true,yeah?
4245,Magda,B: Well yeah it’s been [distortion] really [/distortion] busy.,122,Well yeah it’s been really busy.,122.1,B,busy,true,Well yeah it’s been really busy.
4245,Magda,A: The kid sister thing?,123,The kid sister thing?,123.1,A,thing,true,The kid sister thing?
4245,Magda,B: %huh?,124,huh?,124.1,B,huh,true,huh?
4245,Magda,A: The kid sister thing?,125,The kid sister thing?,125.1,A,thing,true,The kid sister thing?
4245,Magda,B: Well no. Not really that but it’s been really busy as far as work is concerned.,126,Well no. Not really that but it’s been really busy as far as work is concerned.,126.1,B,busy,true,but it’s been really busy as far as work is concerned.
4245,Magda,A: Sure. yeah.,127,Sure. yeah.,127.1,A,Sure,true,Sure.
4245,Magda,B: You know? Now things are just like kind of mellow and I’m just n- you know wrapping things up so it’s not that bad.,128,You know? Now things are just like kind of mellow and I’m just you know wrapping things up so it’s not that bad.,128.1,B,know,true,You know?
4245,Magda,B: You know? Now things are just like kind of mellow and I’m just n- you know wrapping things up so it’s not that bad.,128,You know? Now things are just like kind of mellow and I’m just you know wrapping things up so it’s not that bad.,128.2,B,wrapping,true,you know wrapping things up so it’s not that bad
4245,Magda,A: Sure.,129,Sure.,129.1,A,Sure,true,Sure.
4245,Magda,A: mhm.,130,mhm.,130.1,A,mhm,true,mhm.
4245,Magda,B: But it was kind of hellish for a bit.,131,But it was kind of hellish for a bit.,131.1,B,was,true,But it was kind of hellish for a bit.
4245,Magda,A: yeah. oh I’m sure.,132,yeah. oh I’m sure.,132.1,A,sure,true,oh I’m sure.
4245,Magda,"B: I still, all I want to do is sleep now. I’ve been trying to nap for the longest time today.",133,"I still, all I want to do is sleep now. I’ve been trying to nap for the longest time today.",133.1,B,want,true,I want to do
4245,Magda,"B: I still, all I want to do is sleep now. I’ve been trying to nap for the longest time today.",133,"I still, all I want to do is sleep now. I’ve been trying to nap for the longest time today.",133.2,B,sleep,unknown,sleep now
4245,Magda,"B: I still, all I want to do is sleep now. I’ve been trying to nap for the longest time today.",133,"I still, all I want to do is sleep now. I’ve been trying to nap for the longest time today.",133.3,B,trying,true,I’ve been trying to nap for the longest time today.
