CID,Annotator,Sentence,Sno.,Preprocessed,Coref Resolved,Eno.,Source,Target,Belief,Event
4245,Magda,A: I taught listening. I taught integrated skills and g- beginning grammar.,19,I taught listening. I taught integrated skills and beginning grammar.,I taught listening. I taught integrated skills and beginning grammar.,19.2,A,taught,true,A taught integrated skills
4245,Magda,A: I taught listening. I taught integrated skills and g- beginning grammar.,19,I taught listening. I taught integrated skills and beginning grammar.,I taught listening. I taught integrated skills and beginning grammar.,19.3,A,listening,true,listening
4245,Magda,B: okay.,20,okay.,okay.,20.1,B,okay,true,okay.
4245,Magda,B: mhm. I’m just writing this down so I,21,mhm. I’m just writing this down so I,mhm. I’m just writing this down so I,21.1,B,writing,true,B’m just writing this down
4245,Magda,A: Cool.,22,Cool.,Cool.,22.1,A,Cool,true,Cool.
4245,Magda,A: You don’t have to tell them about (( )) or anything. {breath} oh weird.,23,You don’t have to tell them about or anything. oh weird.,You don’t have to tell them about or anything. oh weird.,23.1,A,tell,unknown,to tell them about
4245,Magda,B: {laugh},24, , , , , , , 
4245,Magda,A: You know what?,25,You know what?,You know what?,25.1,A,You,true,B
4245,Magda,B: What?,26,What?,What?, , , , , 
4245,Magda,"A: I had a dream this morning about,",27,"I had a dream this morning about,","I had a dream this morning about,",27.1,A,dream,true,a dream
4245,Magda,A: it’s weird. I don’t know if you were in it. I think you were.,28,it’s weird. I don’t know if you were in it. I think you were.,a dream’s weird. I don’t know if you were in a dream. I think you were.,28.1,A,think,true,A think B were.
4245,Magda,A: it’s weird. I don’t know if you were in it. I think you were.,28,it’s weird. I don’t know if you were in it. I think you were.,a dream’s weird. I don’t know if you were in a dream. I think you were.,28.2,A,were,unknown,if B were in a dream
4245,Magda,A: it’s weird. I don’t know if you were in it. I think you were.,28,it’s weird. I don’t know if you were in it. I think you were.,a dream’s weird. I don’t know if you were in a dream. I think you were.,28.3,A,were,ptrue,B were
4245,Magda,B: %huh.,29,huh.,huh.,29.1,B,huh,true,huh.
4245,Magda,A: But &Barry was definitely in it.,30,But Barry was definitely in it.,But Barry was definitely in a dream.,30.1,A,in,true,But Barry was definitely in a dream.
4245,Magda,B: yeah.,31,yeah.,yeah.,31.1,B,yeah,true,yeah.
4245,Magda,A: And &Barry and I,32,And Barry and I,And Barry and I,32.1,A,Barry,true,And Barry
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,I don’t know. Barry and I were trying to get somewhere and Barry and I had to jump in this water but Barry wouldn’t let go of me when Barry and I got in this water and I woke up because I start drowning.,33.1,A,trying,true,Barry and A were trying to get somewhere
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,I don’t know. Barry and I were trying to get somewhere and Barry and I had to jump in this water but Barry wouldn’t let go of me when Barry and I got in this water and I woke up because I start drowning.,33.2,A,get,unknown,to get somewhere
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,I don’t know. Barry and I were trying to get somewhere and Barry and I had to jump in this water but Barry wouldn’t let go of me when Barry and I got in this water and I woke up because I start drowning.,33.3,A,get,true,when Barry and A got in this water
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,I don’t know. Barry and I were trying to get somewhere and Barry and I had to jump in this water but Barry wouldn’t let go of me when Barry and I got in this water and I woke up because I start drowning.,33.4,A,jump,unknown,to jump in this water
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,I don’t know. Barry and I were trying to get somewhere and Barry and I had to jump in this water but Barry wouldn’t let go of me when Barry and I got in this water and I woke up because I start drowning.,33.5,A,let,unknown,Barry wouldn’t let go of me when Barry
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,I don’t know. Barry and I were trying to get somewhere and Barry and I had to jump in this water but Barry wouldn’t let go of me when Barry and I got in this water and I woke up because I start drowning.,33.6,A,woke,true,and A woke up because A start drowning.
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,I don’t know. Barry and I were trying to get somewhere and Barry and I had to jump in this water but Barry wouldn’t let go of me when Barry and I got in this water and I woke up because I start drowning.,33.7,A,start,true,because A start drowning
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,I don’t know. Barry and I were trying to get somewhere and Barry and I had to jump in this water but Barry wouldn’t let go of me when Barry and I got in this water and I woke up because I start drowning.,33.8,A,drowning,true,drowning
4245,Magda,B: {laugh},34, , , , , , , 
4245,Magda,A: {breath} I don’t know what that means. I got a postcard from her too the other day,35,I don’t know what that means. I got a postcard from her too the other day,I don’t know what that means. I got a postcard from Barry too the other day,35.1,A,know,false,A don’t know what that means.
4245,Magda,A: {breath} I don’t know what that means. I got a postcard from her too the other day,35,I don’t know what that means. I got a postcard from her too the other day,I don’t know what that means. I got a postcard from Barry too the other day,35.2,A,got,true,A got a postcard from Barry too the other day
4245,Magda,A: {breath} I don’t know what that means. I got a postcard from her too the other day,35,I don’t know what that means. I got a postcard from her too the other day,I don’t know what that means. I got a postcard from Barry too the other day,35.3,A,means,unknown,what that means
4245,Magda,B: ((That’s a)) [distorted],36,That’s a,That’s a,36.1,B,That,true,That
4245,Magda,B: yeah. That’s a scary dream.,37,yeah. That’s a scary dream.,yeah. That’s a scary dream.,37.1,B,dream,true,a scary dream
4245,Magda,A: It was pretty scary.,38,It was pretty scary.,It was pretty scary.,38.1,A,scary,true,It was pretty scary.
4245,Magda,B: yeah.,39,yeah.,yeah.,39.1,B,yeah,true,yeah.
4245,Magda,A: [channel noise] I don’t know it was kind of one of those frustrating type dreams.,40,I don’t know it was kind of one of those frustrating type dreams.,I don’t know it was kind of one of those frustrating type dreams.,40.1,A,know,false,A don’t know it was kind of one of those frustrating type dreams.
4245,Magda,A: [channel noise] I don’t know it was kind of one of those frustrating type dreams.,40,I don’t know it was kind of one of those frustrating type dreams.,I don’t know it was kind of one of those frustrating type dreams.,40.2,A,dreams,unknown,those frustrating type dreams
4245,Magda,"B: %eh w- listen. Was it difficult coming back, going back to the &U &S?",41,"listen. Was it difficult coming back, going back to the U S?","listen. Was it difficult coming back, going back to the U S?",41.1,B,coming,true,"coming back,"
4245,Magda,"B: %eh w- listen. Was it difficult coming back, going back to the &U &S?",41,"listen. Was it difficult coming back, going back to the U S?","listen. Was it difficult coming back, going back to the U S?",41.2,B,going,true,going back to the U S
4245,Magda,A: yeah.,42,yeah.,yeah.,42.1,A,yeah,true,yeah.
4245,Magda,B: yeah.,43,yeah.,yeah.,43.1,B,yeah,true,yeah.
4245,Magda,A: It was harder than I thought it would be actually.,44,It was harder than I thought it would be actually.,It was harder than I thought it would be actually.,44.1,A,thought,true,than A thought it would be actually
4245,Magda,A: It was harder than I thought it would be actually.,44,It was harder than I thought it would be actually.,It was harder than I thought it would be actually.,44.2,A,was,unknown,It was harder than A thought it would be actually.
4245,Magda,A: It was harder than I thought it would be actually.,44,It was harder than I thought it would be actually.,It was harder than I thought it would be actually.,44.3,A,was,true,it would be actually
4245,Magda,B: yeah.,45,yeah.,yeah.,45.1,B,yeah,true,yeah.
4245,Magda,A: %um harder in the sense that %uh,46,harder in the sense that,harder in the sense that,46.1,A,harder,true,harder in the sense that
4245,Magda,A: {lipsmack} {breath},47, , , , , , , 
4245,Magda,A: I wasn’t used to the pace,48,I wasn’t used to the pace,I wasn’t used to the pace,48.1,A,used,false,A wasn’t used to the pace
4245,Magda,A: it’s,49,it’s,it’s,49.1,A,it,true,it
4245,Magda,B: mhm.,50,mhm.,mhm.,50.1,B,mhm,true,mhm.
4245,Magda,A: you know the pace is totally different.,51,you know the pace is totally different.,you know the pace is totally different.,51.1,A,know,true,B know
4245,Magda,A: you know the pace is totally different.,51,you know the pace is totally different.,you know the pace is totally different.,51.2,A,pace,true,the pace
4245,Magda,B: mhm.,52,mhm.,mhm.,52.1,B,mhm,true,mhm.
4245,Magda,A: %um,53,um,um, , , , , 
4245,Magda,A: And,54,And,And, , , , , 
4245,Magda,A: I didn’t really want to see anybody for a while.,55,I didn’t really want to see anybody for a while.,I didn’t really want to see anybody for a while.,55.1,A,want,false,A didn’t really want to see anybody for a while.
4245,Magda,A: I didn’t really want to see anybody for a while.,55,I didn’t really want to see anybody for a while.,I didn’t really want to see anybody for a while.,55.2,A,see,unknown,to see anybody for a while
4245,Magda,"A: And I d-, and I didn’t, which was fine.",56,"And I and I didn’t, which was fine.","And I and I didn’t, which was fine.",56.1,A,fine,true,which was fine
4245,Magda,A: And I really missed people,57,And I really missed people,And I really missed people,57.1,A,missed,true,And A really missed people
4245,Magda,A: %um from &Poland because it was all my support system. Coming here w- the only person that really knew and understood my circumstances was &Tom.,58,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,58.1,A,support,true,support
4245,Magda,A: %um from &Poland because it was all my support system. Coming here w- the only person that really knew and understood my circumstances was &Tom.,58,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,58.2,A,Coming,true,Coming here the only person that really knew
4245,Magda,A: %um from &Poland because it was all my support system. Coming here w- the only person that really knew and understood my circumstances was &Tom.,58,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,58.3,A,knew,true,that really knew
4245,Magda,A: %um from &Poland because it was all my support system. Coming here w- the only person that really knew and understood my circumstances was &Tom.,58,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,58.4,A,understood,true,understood
4245,Magda,B: mhm.,59,mhm.,mhm.,59.1,B,mhm,true,mhm.
4245,Magda,A: And so that was really tough because that was a lot of pressure on both of us ((coming coming)) with him again and all of that.,60,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,60.1,A,tough,true,And so that was really tough because that was a lot of pressure on both of us coming coming with him again
4245,Magda,A: And so that was really tough because that was a lot of pressure on both of us ((coming coming)) with him again and all of that.,60,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,60.2,A,pressure,true,pressure on both of us
4245,Magda,A: And so that was really tough because that was a lot of pressure on both of us ((coming coming)) with him again and all of that.,60,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,60.3,A,coming,true,coming coming with him again
4245,Magda,A: And so that was really tough because that was a lot of pressure on both of us ((coming coming)) with him again and all of that.,60,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,60.4,A,coming,true,coming with him again
4245,Magda,B: mhm.,61,mhm.,mhm.,61.1,B,mhm,true,mhm.
4245,Magda,A: %um readjusting as far as Americanisms,62,readjusting as far as Americanisms,readjusting as far as Americanisms,62.1,A,readjusting,true,readjusting as far as Americanisms
4245,Magda,B: mhm.,63,mhm.,mhm.,63.1,B,mhm,true,mhm.
4245,Magda,A: %uh &Blimpie’s scared me.,64,Blimpie’s scared me.,Blimpie’s's scared me.,64.1,A,scared,true,Blimpie’s's scared me.
4245,Magda,A: &Blimpie’s is the sandwich place (( )) {laugh},65,Blimpie’s is the sandwich place,Blimpie’s's is the sandwich place,65.1,A,is,true,Blimpie’s's is the sandwich place
4245,Magda,B: {laugh} I know. I know. {laugh} {breath} oh that’s pretty funny.,66,I know. I know. oh that’s pretty funny.,I know. I know. oh that’s pretty funny.,66.1,B,know,true,B know.
4245,Magda,B: {laugh} I know. I know. {laugh} {breath} oh that’s pretty funny.,66,I know. I know. oh that’s pretty funny.,I know. I know. oh that’s pretty funny.,66.2,B,know,true,B know.
4245,Magda,A: We went in there and it was so yellow.,67,We went in there and it was so yellow.,We went in there and Blimpie’s's was so yellow.,67.1,A,went,true,We went in there
4245,Magda,A: It was just so yellow and they wanted to help so bad.,68,It was just so yellow and they wanted to help so bad.,Blimpie’s's was just so yellow and they wanted to help so bad.,68.1,A,wanted,true,they wanted to help so bad.
4245,Magda,A: It was just so yellow and they wanted to help so bad.,68,It was just so yellow and they wanted to help so bad.,Blimpie’s's was just so yellow and they wanted to help so bad.,68.2,A,help,unknown,to help so bad
4245,Magda,B: %ah. [[groaning and drawn out]],69,.,., , , , , 
4245,Magda,A: And it was,70,And it was,And it was,70.1,A,was,true,And it was
4245,Magda,B: %ah,71,ah,ah,71.1,B,ah,true,ah
4245,Magda,A: {laugh},72, , , , , , , 
4245,Magda,B: {laugh},73, , , , , , , 
4245,Magda,B: I just went back and I decided people are a bit too cheery in the &U &S.,74,I just went back and I decided people are a bit too cheery in the U S.,I just went back and I decided people are a bit too cheery in the U S.,74.1,B,went,true,B just went back
4245,Magda,B: I just went back and I decided people are a bit too cheery in the &U &S.,74,I just went back and I decided people are a bit too cheery in the U S.,I just went back and I decided people are a bit too cheery in the U S.,74.2,B,decided,true,B decided people are a bit too cheery in the U S.
4245,Magda,B: I just went back and I decided people are a bit too cheery in the &U &S.,74,I just went back and I decided people are a bit too cheery in the U S.,I just went back and I decided people are a bit too cheery in the U S.,74.3,B,cheery,unknown,people are a bit too cheery in the U S.
4245,Magda,A: oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75,oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75.1,A,see,true,And see that wanting to help B so bad just freaked me out.
4245,Magda,A: oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75,oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75.2,A,wanting,true,wanting to help B so bad
4245,Magda,A: oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75,oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75.3,A,help,unknown,to help B so bad
4245,Magda,B: (( )) [distorted],76, , , , , , , 
4245,Magda,B: oh my God.,77,oh my God.,oh my God.,77.1,B,oh,true,oh B's God.
4245,Magda,"B: like, I, I just like ran into stores and ran out because",78,"like, I, I just like ran into stores and ran out because","like, I, I just like ran into stores and ran out because",78.1,B,ran,true,"like, B, B just like ran into stores"
4245,Magda,A: uh-huh.,79,uh-huh.,uh-huh.,79.1,A,uh,true,uh-huh.
4245,Magda,B: I’d go on the weekdays when nobody you know because I’m,80,I’d go on the weekdays when nobody you know because I’m,I’d go on the weekdays when nobody you know because I’m,80.1,B,go,unknown,B’d go on the weekdays when nobody A know because B’m
4245,Magda,B: I’d go on the weekdays when nobody you know because I’m,80,I’d go on the weekdays when nobody you know because I’m,I’d go on the weekdays when nobody you know because I’m,80.2,B,know,unknown,when nobody A know
4245,Magda,A: Right.,81,Right.,Right.,81.1,A,Right,true,Right.
4245,Magda,B: you know I had time off and %um,82,you know I had time off and,you know I had time off and,82.1,B,you,true,A
4245,Magda,A: uh-huh.,83,uh-huh.,uh-huh.,83.1,A,uh,true,uh-huh.
4245,Magda,B: I’d walk in there and like five people would say hello to me. I’d be just like leave me alone [[whispered]] {laugh}.,84,I’d walk in there and like five people would say hello to me. I’d be just like leave me alone,I’d walk in there and like five people would say hello to me. I’d be just like leave me alone,84.1,B,walk,unknown,B’d walk in there
4245,Magda,B: I’d walk in there and like five people would say hello to me. I’d be just like leave me alone [[whispered]] {laugh}.,84,I’d walk in there and like five people would say hello to me. I’d be just like leave me alone,I’d walk in there and like five people would say hello to me. I’d be just like leave me alone,84.2,B,say,unknown,like five people would say hello to me.
4245,Magda,B: I’d walk in there and like five people would say hello to me. I’d be just like leave me alone [[whispered]] {laugh}.,84,I’d walk in there and like five people would say hello to me. I’d be just like leave me alone,I’d walk in there and like five people would say hello to me. I’d be just like leave me alone,84.3,B,leave,unknown,just like leave me alone
4245,Magda,"A: i-, it’s just",85,", it’s just",", it’s just",85.1,A,it,true,it
4245,Magda,A: oh my God.,86,oh my God.,oh my God.,86.1,A,oh,true,oh A's God.
4245,Magda,B: It’s just very hard. I talked to &Kristen though when I was home.,87,It’s just very hard. I talked to Kristen though when I was home.,It’s just very hard. I talked to Kristen though when I was home.,87.1,B,talked,true,B talked to Kristen though when B was home.
4245,Magda,A: yeah?,88,yeah?,yeah?,88.1,A,yeah,true,yeah?
4245,Magda,B: yeah. She seems to be doing well. She’s working,89,yeah. She seems to be doing well. She’s working,yeah. Kristen seems to be doing well. Kristen’s working,89.1,B,seems,true,Kristen seems to be doing well.
4245,Magda,B: yeah. She seems to be doing well. She’s working,89,yeah. She seems to be doing well. She’s working,yeah. Kristen seems to be doing well. Kristen’s working,89.2,B,doing,true,to be doing well
4245,Magda,B: yeah. She seems to be doing well. She’s working,89,yeah. She seems to be doing well. She’s working,yeah. Kristen seems to be doing well. Kristen’s working,89.3,B,working,true,Kristen’s working
4245,Magda,B: [channel noise] which is good and she’s got her %um she’s healthy again.,90,which is good and she’s got her she’s healthy again.,which is good and Kristen’s got Kristen's Kristen’s healthy again.,90.1,B,good,true,which is good
4245,Magda,B: [channel noise] which is good and she’s got her %um she’s healthy again.,90,which is good and she’s got her she’s healthy again.,which is good and Kristen’s got Kristen's Kristen’s healthy again.,90.2,B,got,true,Kristen’s got Kristen's Kristen’s healthy again.
4245,Magda,B: [channel noise] which is good and she’s got her %um she’s healthy again.,90,which is good and she’s got her she’s healthy again.,which is good and Kristen’s got Kristen's Kristen’s healthy again.,90.3,B,healthy,true,Kristen's Kristen’s healthy again
4245,Magda,A: That’s good.,91,That’s good.,That’s good.,91.1,A,good,true,That’s good.
4245,Magda,B: %hm yeah.,92,yeah.,yeah.,92.1,B,yeah,true,yeah.
4245,Magda,A: I’d like to be healthy again.,93,I’d like to be healthy again.,I’d like to be healthy again.,93.1,A,like,true,A’d like to be healthy again.
4245,Magda,B: yeah. I hope,94,yeah. I hope,yeah. I hope,94.1,B,hope,true,B hope
4245,Magda,A: hey.,95,hey.,hey.,95.1,A,hey,true,hey.
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,you know I was going to tell you this thing that I got. Tom found this thing that I got for me about this freebie experiment thing where you can do this and you can talk.,96.1,A,know,true,B know
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,you know I was going to tell you this thing that I got. Tom found this thing that I got for me about this freebie experiment thing where you can do this and you can talk.,96.2,A,tell,unknown,to tell B this thing that A got
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,you know I was going to tell you this thing that I got. Tom found this thing that I got for me about this freebie experiment thing where you can do this and you can talk.,96.3,A,got,true,that A got
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,you know I was going to tell you this thing that I got. Tom found this thing that I got for me about this freebie experiment thing where you can do this and you can talk.,96.4,A,found,true,Tom found this thing that A got for me about this freebie experiment thing where B can do this
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,you know I was going to tell you this thing that I got. Tom found this thing that I got for me about this freebie experiment thing where you can do this and you can talk.,96.5,A,do,unknown,where B can do this
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,you know I was going to tell you this thing that I got. Tom found this thing that I got for me about this freebie experiment thing where you can do this and you can talk.,96.6,A,talk,unknown,B can talk
4245,Magda,B: (( )) [distorted],97, , , , , , , 
4245,Magda,B: uh-huh.,98,uh-huh.,uh-huh.,98.1,B,uh,true,uh-huh.
4245,Magda,B: yeah.,99,yeah.,yeah.,99.1,B,yeah,true,yeah.
4245,Magda,"A: And it was funny because he handed it to me and I was really confused and I said well,",100,"And it was funny because he handed it to me and I was really confused and I said well,","And it was funny because Tom handed this thing that I got to me and I was really confused and I said well,",100.1,A,handed,true,because Tom handed this thing that A got to me
4245,Magda,"A: And it was funny because he handed it to me and I was really confused and I said well,",100,"And it was funny because he handed it to me and I was really confused and I said well,","And it was funny because Tom handed this thing that I got to me and I was really confused and I said well,",100.2,A,confused,true,A was really confused
4245,Magda,"A: And it was funny because he handed it to me and I was really confused and I said well,",100,"And it was funny because he handed it to me and I was really confused and I said well,","And it was funny because Tom handed this thing that I got to me and I was really confused and I said well,",100.3,A,said,true,"A said well,"
4245,Magda,"A: well is this somebody that contacted you on your email or what? He goes no I told you about this last week blah, blah, blah.",101,"well is this somebody that contacted you on your email or what? He goes no I told you about this last week blah, blah, blah.","well is this somebody that contacted Tom on Tom's email or what? Tom goes no Tom told you about this thing that Tom got last week blah, blah, blah.",101.1,A,contacted,unknown,that contacted Tom on Tom's email
4245,Magda,"A: well is this somebody that contacted you on your email or what? He goes no I told you about this last week blah, blah, blah.",101,"well is this somebody that contacted you on your email or what? He goes no I told you about this last week blah, blah, blah.","well is this somebody that contacted Tom on Tom's email or what? Tom goes no Tom told you about this thing that Tom got last week blah, blah, blah.",101.2,A,told,true,"Tom goes no Tom told B about this thing that Tom got last week blah, blah, blah."
4245,Magda,A: {breath} I’m looking at it {breath} because it had this guy and it,102,I’m looking at it because it had this guy and it,I’m looking at this thing that I got because this thing that I got had this guy and this thing that I got last week,102.1,A,had,true,that A got had this guy
4245,Magda,A: {breath} I’m looking at it {breath} because it had this guy and it,102,I’m looking at it because it had this guy and it,I’m looking at this thing that I got because this thing that I got had this guy and this thing that I got last week,102.2,A,looking,true,A’m looking at this thing that A got because this thing that A got had this guy
